#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6430087491215E-08  0.5647466120780E-08  0.6429462250997E-08  0.7211458381215E-08
   2  0.1070611031166E-05  0.1029608553581E-05  0.1070754207472E-05  0.1111899861362E-05
   3  0.2295548128488E-05  0.2233171788252E-05  0.2296274206049E-05  0.2359376623847E-05
   4  0.1858273228660E-05  0.1815105973123E-05  0.1859322056839E-05  0.1903538140554E-05
   5  0.5921780209709E-06  0.5766874774881E-06  0.5931762522541E-06  0.6096650270202E-06
   6  0.2480255253806E-06  0.2354419199559E-06  0.2478702527117E-06  0.2602985854675E-06
   7  0.9793781683041E-06  0.9432222530836E-06  0.9790938676603E-06  0.1014965482237E-05
   8  0.1457557153079E-05  0.1405990975134E-05  0.1457844282063E-05  0.1509697588993E-05
   9  0.9475244243307E-06  0.9000266100020E-06  0.9483181868056E-06  0.9966097636091E-06
  10  0.2593148550518E-06  0.2349507808668E-06  0.2594917973779E-06  0.2840328138891E-06
  11  0.3210113569190E-06  0.2967422026093E-06  0.3208373986626E-06  0.3449325947159E-06
  12  0.7992972722634E-06  0.7509216628401E-06  0.8000489562237E-06  0.8491762496073E-06
  13  0.1029668841906E-05  0.9688922477107E-06  0.1031416568433E-05  0.1093940889156E-05
  14  0.1148289918914E-05  0.1078068843010E-05  0.1150871073406E-05  0.1223673303801E-05
  15  0.1237994718827E-05  0.1170342764166E-05  0.1241480709950E-05  0.1312618655734E-05
  16  0.9151800271646E-06  0.8603834606874E-06  0.9189673227726E-06  0.9775511848578E-06
  17  0.4587530411223E-06  0.4170900656719E-06  0.4613156661626E-06  0.5055412666533E-06
  18  0.5524145651874E-06  0.4981171901706E-06  0.5530397016743E-06  0.6079622131781E-06
  19  0.9443280616815E-06  0.8746728405033E-06  0.9452747432242E-06  0.1015876645945E-05
  20  0.1006191155613E-05  0.9346439196159E-06  0.1009917634290E-05  0.1085191348964E-05
  21  0.8566571251665E-06  0.7885701490611E-06  0.8610737513729E-06  0.9335773536847E-06
  22  0.7858448264704E-06  0.7110404091123E-06  0.7869901688169E-06  0.8629399285216E-06
  23  0.6526684200878E-06  0.5778828409123E-06  0.6516915951709E-06  0.7255003494295E-06
  24  0.4719656143933E-06  0.4089911808916E-06  0.4741655757528E-06  0.5393399706141E-06
  25  0.5555320821567E-06  0.4898779115899E-06  0.5611063434221E-06  0.6323347752543E-06
  26  0.8286894650290E-06  0.7425006476784E-06  0.8330991451970E-06  0.9236976427156E-06
  27  0.8708912412924E-06  0.7808974614986E-06  0.8728598178975E-06  0.9648221742964E-06
  28  0.6698815403936E-06  0.5929456772752E-06  0.6716850735579E-06  0.7504244698405E-06
  29  0.6184417741266E-06  0.5370174977361E-06  0.6210729205925E-06  0.7051283434490E-06
  30  0.7912506920559E-06  0.6890309187518E-06  0.7948535963965E-06  0.9006762740412E-06
  31  0.8601760857632E-06  0.7544142502848E-06  0.8647323685688E-06  0.9750504868528E-06
  32  0.7341819800119E-06  0.6456575145906E-06  0.7386086789925E-06  0.8315598433944E-06
  33  0.7044977561618E-06  0.6184459933994E-06  0.7082931323957E-06  0.7981402713921E-06
  34  0.8760414800502E-06  0.7731416935673E-06  0.8810833734127E-06  0.9890250532582E-06
  35  0.9780901048376E-06  0.8662442395168E-06  0.9855678005665E-06  0.1104891361616E-05
  36  0.8655311294702E-06  0.7599265608308E-06  0.8738948857728E-06  0.9878632107149E-06
  37  0.7687717080434E-06  0.6663006807997E-06  0.7755833704712E-06  0.8848660601427E-06
  38  0.8822882598804E-06  0.7677847113753E-06  0.8866153235372E-06  0.1005445935699E-05
  39  0.1051852512516E-05  0.9268342744170E-06  0.1054738226806E-05  0.1182642179195E-05
  40  0.1062320922902E-05  0.9361728009635E-06  0.1065328877882E-05  0.1194484954801E-05
  41  0.9775561024223E-06  0.8552081038739E-06  0.9813790405353E-06  0.1107549977197E-05
  42  0.9807349776557E-06  0.8561632586334E-06  0.9849070958713E-06  0.1113650933109E-05
  43  0.1063197901188E-05  0.9323063158432E-06  0.1066490314844E-05  0.1200674313844E-05
  44  0.1095037841975E-05  0.9579756051823E-06  0.1096574347534E-05  0.1235173089886E-05
  45  0.1069973357233E-05  0.9326135578859E-06  0.1070595744317E-05  0.1208577930748E-05
  46  0.1076590670746E-05  0.9391519647772E-06  0.1078730491758E-05  0.1218309018739E-05
  47  0.1131857813639E-05  0.9941089127120E-06  0.1136816163035E-05  0.1279523413358E-05
  48  0.1200226479378E-05  0.1049905872445E-05  0.1205414335635E-05  0.1360922798824E-05
  49  0.1278079736939E-05  0.1109676224593E-05  0.1279078346293E-05  0.1448480467992E-05
  50  0.1352777526472E-05  0.1173238190307E-05  0.1349218307988E-05  0.1525198425668E-05
  51  0.1385166503827E-05  0.1207935881267E-05  0.1382561014119E-05  0.1557186146971E-05
  52  0.1396841353606E-05  0.1226542292961E-05  0.1400916962671E-05  0.1575291632382E-05
  53  0.1456810558993E-05  0.1278028931200E-05  0.1467053052518E-05  0.1656077173836E-05
  54  0.1554555384175E-05  0.1365881947010E-05  0.1565214637503E-05  0.1764547327995E-05
  55  0.1613989528475E-05  0.1421984527098E-05  0.1621783714372E-05  0.1821582901646E-05
  56  0.1626695373837E-05  0.1437324069568E-05  0.1635589395436E-05  0.1833854721305E-05
  57  0.1644020668679E-05  0.1457836363472E-05  0.1660026952125E-05  0.1862217540778E-05
  58  0.1677121759434E-05  0.1487068154306E-05  0.1699010483678E-05  0.1910952813050E-05
  59  0.1721198925160E-05  0.1524248939390E-05  0.1740141575483E-05  0.1956034211577E-05
  60  0.1800474094344E-05  0.1592366944088E-05  0.1810783021527E-05  0.2029199098965E-05
  61  0.1884497427359E-05  0.1668514443817E-05  0.1891162757989E-05  0.2113811072161E-05
  62  0.1883282623425E-05  0.1672058802077E-05  0.1894558494277E-05  0.2117058186477E-05
  63  0.1829308995727E-05  0.1619526280754E-05  0.1843949604340E-05  0.2068372927926E-05
  64  0.1888675827752E-05  0.1663884865281E-05  0.1896788475668E-05  0.2129692086055E-05
  65  0.2073241432580E-05  0.1822090069265E-05  0.2070381968515E-05  0.2318673867765E-05
  66  0.2173875960860E-05  0.1914555917793E-05  0.2168254670169E-05  0.2421953422545E-05
  67  0.2118967495187E-05  0.1876794908530E-05  0.2122027870730E-05  0.2367260832931E-05
  68  0.2109636261576E-05  0.1878626459167E-05  0.2123575674595E-05  0.2368524890024E-05
  69  0.2245238583271E-05  0.2005239808551E-05  0.2262259443808E-05  0.2519279079066E-05
  70  0.2353264333783E-05  0.2100051362727E-05  0.2364494331950E-05  0.2628937301173E-05
  71  0.2346416942442E-05  0.2083215956786E-05  0.2350287943061E-05  0.2617359929336E-05
  72  0.2380876039923E-05  0.2108450097781E-05  0.2384805248916E-05  0.2661160400052E-05
  73  0.2514567135206E-05  0.2237869441135E-05  0.2527687109422E-05  0.2817504777709E-05
  74  0.2579989925727E-05  0.2307028991832E-05  0.2601012344600E-05  0.2894995697368E-05
  75  0.2530267593034E-05  0.2259015329645E-05  0.2544876838543E-05  0.2830738347441E-05
  76  0.2555261374158E-05  0.2271648396792E-05  0.2552077765352E-05  0.2832507133913E-05
  77  0.2721305134753E-05  0.2417712998603E-05  0.2708813331197E-05  0.2999913663790E-05
  78  0.2822846500636E-05  0.2520933374847E-05  0.2820558221254E-05  0.3120183067662E-05
  79  0.2739802756116E-05  0.2454094907543E-05  0.2751573619256E-05  0.3049052330969E-05
  80  0.2657043643183E-05  0.2371274088724E-05  0.2665638967844E-05  0.2960003846963E-05
  81  0.2757919477769E-05  0.2449851565431E-05  0.2751019877118E-05  0.3052188188805E-05
  82  0.2931782029190E-05  0.2600576283101E-05  0.2919319041345E-05  0.3238061799588E-05
  83  0.2975481384068E-05  0.2646991456164E-05  0.2970829987572E-05  0.3294668518981E-05
  84  0.2912485245754E-05  0.2588927903880E-05  0.2909527500846E-05  0.3230127097813E-05
  85  0.2912313235287E-05  0.2574687763437E-05  0.2896907609600E-05  0.3219127455762E-05
  86  0.3001319047102E-05  0.2646267862094E-05  0.2977521183389E-05  0.3308774504683E-05
  87  0.3050449775757E-05  0.2699001694307E-05  0.3037935117930E-05  0.3376868541552E-05
  88  0.3006502579613E-05  0.2676592576801E-05  0.3014525221341E-05  0.3352457865881E-05
  89  0.2960799347833E-05  0.2644485644594E-05  0.2980131572706E-05  0.3315777500819E-05
  90  0.2982571427406E-05  0.2668121642955E-05  0.3003480767817E-05  0.3338839892679E-05
  91  0.3024651567829E-05  0.2716415754859E-05  0.3048236559718E-05  0.3380057364576E-05
  92  0.3024719986416E-05  0.2725160305309E-05  0.3052698114742E-05  0.3380235924176E-05
  93  0.2996242376135E-05  0.2694180561977E-05  0.3022504903948E-05  0.3350829245918E-05
  94  0.2982762421368E-05  0.2671852590747E-05  0.3002883899855E-05  0.3333915208964E-05
  95  0.2992822481626E-05  0.2682793951485E-05  0.3013197831893E-05  0.3343601712301E-05
  96  0.3010964685297E-05  0.2706554126224E-05  0.3038200114976E-05  0.3369846103727E-05
  97  0.3028086392770E-05  0.2720699262813E-05  0.3055357977015E-05  0.3390016691217E-05
  98  0.3039203681940E-05  0.2720891988811E-05  0.3055164537391E-05  0.3389437085972E-05
  99  0.3038055689637E-05  0.2712177177267E-05  0.3046160400721E-05  0.3380143624175E-05
