#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.9126605834106E-05  0.9072570066559E-05  0.9142323589176E-05  0.9212077111793E-05
   2  0.1907452047001E-04  0.1894644017154E-04  0.1911744757513E-04  0.1928845497872E-04
   3  0.1874170135874E-04  0.1860652769793E-04  0.1879242999935E-04  0.1897833230076E-04
   4  0.7488001950284E-05  0.7412351104979E-05  0.7511688461246E-05  0.7611025817512E-05
   5  0.1921622549361E-06  0.1841296576483E-06  0.1922988617615E-06  0.2004680658746E-06
   6  0.3914491668921E-05  0.3865264986845E-05  0.3926225477297E-05  0.3987185967748E-05
   7  0.9612453975595E-05  0.9530767365733E-05  0.9640948691544E-05  0.9751130017355E-05
   8  0.8585477144045E-05  0.8483698862809E-05  0.8601614190103E-05  0.8719529517397E-05
   9  0.3335833299172E-05  0.3245096355833E-05  0.3334899350317E-05  0.3424702344801E-05
  10  0.5837919707222E-06  0.5493258821323E-06  0.5842700683742E-06  0.6192142546162E-06
  11  0.2298176472471E-05  0.2240647561354E-05  0.2309541092932E-05  0.2378434624510E-05
  12  0.5079727887766E-05  0.4973532795647E-05  0.5089870968058E-05  0.5206209140469E-05
  13  0.5282653337248E-05  0.5149477019327E-05  0.5284795686524E-05  0.5420114353721E-05
  14  0.3463119081777E-05  0.3352349698811E-05  0.3468398015538E-05  0.3584446332264E-05
  15  0.2318691092019E-05  0.2246903317847E-05  0.2336131176850E-05  0.2425359035853E-05
  16  0.2140985250442E-05  0.2070337586800E-05  0.2155190407109E-05  0.2240043227419E-05
  17  0.1897623427374E-05  0.1810313822292E-05  0.1894527406237E-05  0.1978740990183E-05
  18  0.1984679050224E-05  0.1896738055390E-05  0.1978776756956E-05  0.2060815458523E-05
  19  0.2560280093028E-05  0.2462137772204E-05  0.2567332278022E-05  0.2672526783840E-05
  20  0.2617656027915E-05  0.2512531945087E-05  0.2624783776030E-05  0.2737035606974E-05
  21  0.2159477486549E-05  0.2039461149149E-05  0.2148215901552E-05  0.2256970653956E-05
  22  0.2001358644402E-05  0.1864285876304E-05  0.1975799341886E-05  0.2087312807467E-05
  23  0.1950687779456E-05  0.1808968828670E-05  0.1926152332471E-05  0.2043335836272E-05
  24  0.1657005734238E-05  0.1523534692098E-05  0.1636645976988E-05  0.1749757261878E-05
  25  0.1690185864085E-05  0.1544396439775E-05  0.1662717859331E-05  0.1781039278886E-05
  26  0.2224075626660E-05  0.2045251682841E-05  0.2184408137343E-05  0.2323564591844E-05
  27  0.2407498588045E-05  0.2221631047354E-05  0.2361828696087E-05  0.2502026344819E-05
  28  0.1981884536188E-05  0.1808702273720E-05  0.1935784402911E-05  0.2062866532102E-05
  29  0.1801564330891E-05  0.1616153860701E-05  0.1748369158710E-05  0.1880584456719E-05
  30  0.2125655350177E-05  0.1908101420949E-05  0.2063209223285E-05  0.2218317025621E-05
  31  0.2148018594113E-05  0.1926798582807E-05  0.2079449654597E-05  0.2232100726388E-05
  32  0.1715113459213E-05  0.1518166202228E-05  0.1645596887445E-05  0.1773027572662E-05
  33  0.1696331847802E-05  0.1483865913583E-05  0.1615981549359E-05  0.1748097185135E-05
  34  0.2231735742542E-05  0.1970489626895E-05  0.2134364790250E-05  0.2298239953604E-05
  35  0.2395487764947E-05  0.2109070213168E-05  0.2289159368546E-05  0.2469248523924E-05
  36  0.1922086906809E-05  0.1646792730487E-05  0.1814988617752E-05  0.1983184505017E-05
  37  0.1658805060547E-05  0.1385149998464E-05  0.1543630108360E-05  0.1702110218255E-05
  38  0.2029310715759E-05  0.1717828408995E-05  0.1894159574602E-05  0.2070490740209E-05
  39  0.2388380743201E-05  0.2050179992225E-05  0.2242308062454E-05  0.2434436132683E-05
  40  0.2202035837042E-05  0.1863018411955E-05  0.2056423542694E-05  0.2249828673433E-05
  41  0.1857665299504E-05  0.1513976278599E-05  0.1701309024159E-05  0.1888641769719E-05
  42  0.1906486428399E-05  0.1548140671215E-05  0.1741810061415E-05  0.1935479451615E-05
  43  0.2177837826645E-05  0.1790538131771E-05  0.1998026360956E-05  0.2205514590142E-05
  44  0.2180770291087E-05  0.1777016890376E-05  0.1989996157427E-05  0.2202975424477E-05
  45  0.1970632697315E-05  0.1568910403401E-05  0.1778899140359E-05  0.1988887877317E-05
  46  0.1963058599094E-05  0.1556569042827E-05  0.1767651558302E-05  0.1978734073777E-05
  47  0.2156598089293E-05  0.1744321903643E-05  0.1964624356710E-05  0.2184926809778E-05
  48  0.2243768007913E-05  0.1773467000722E-05  0.2012000844546E-05  0.2250534688369E-05
  49  0.2263174632372E-05  0.1733535887260E-05  0.1997471586513E-05  0.2261407285765E-05
