#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
  68  0.2108798678428E-05  0.1736030700509E-05  0.1965141885293E-05  0.2194253070077E-05
  69  0.2244279097219E-05  0.1842864254368E-05  0.2084618596461E-05  0.2326372938554E-05
  70  0.2352834619525E-05  0.1935319822388E-05  0.2185414764350E-05  0.2435509706311E-05
  71  0.2345260053520E-05  0.1962445629088E-05  0.2217008493976E-05  0.2471571358864E-05
  72  0.2378163103767E-05  0.1976903801962E-05  0.2238369850091E-05  0.2499835898220E-05
  73  0.2511659686444E-05  0.2088262935713E-05  0.2360764211378E-05  0.2633265487043E-05
  74  0.2579001193047E-05  0.2147741368007E-05  0.2424895919268E-05  0.2702050470530E-05
  75  0.2531733267792E-05  0.2110864567132E-05  0.2381142309031E-05  0.2651420050930E-05
  76  0.2557893567125E-05  0.2141259516555E-05  0.2409473139109E-05  0.2677686761663E-05
  77  0.2723554826331E-05  0.2268957294281E-05  0.2543878659632E-05  0.2818800024983E-05
  78  0.2824378125475E-05  0.2368778482487E-05  0.2650972332048E-05  0.2933166181609E-05
  79  0.2741632224000E-05  0.2317813032303E-05  0.2599541330842E-05  0.2881269629381E-05
  80  0.2660296732123E-05  0.2245472935390E-05  0.2522050731760E-05  0.2798628528130E-05
  81  0.2762681488284E-05  0.2317925596625E-05  0.2600603270086E-05  0.2883280943547E-05
  82  0.2937462670088E-05  0.2463681147457E-05  0.2760455848545E-05  0.3057230549634E-05
  83  0.2981775697010E-05  0.2516554843716E-05  0.2819079666989E-05  0.3121604490263E-05
  84  0.2919175802589E-05  0.2477467475644E-05  0.2780078763622E-05  0.3082690051600E-05
  85  0.2918514983550E-05  0.2463900618229E-05  0.2769101429956E-05  0.3074302241683E-05
  86  0.3006289311370E-05  0.2522627041339E-05  0.2832285257430E-05  0.3141943473522E-05
  87  0.3055199417762E-05  0.2579692263423E-05  0.2893338108721E-05  0.3206983954020E-05
  88  0.3013322181279E-05  0.2580250725511E-05  0.2892672199322E-05  0.3205093673133E-05
  89  0.2970557700715E-05  0.2561942792156E-05  0.2871843658862E-05  0.3181744525568E-05
  90  0.2993526388348E-05  0.2578582684986E-05  0.2892286679126E-05  0.3205990673266E-05
  91  0.3034849721524E-05  0.2624853065757E-05  0.2937823763228E-05  0.3250794460700E-05
  92  0.3034719769006E-05  0.2647921326561E-05  0.2960379864707E-05  0.3272838402853E-05
  93  0.3008031972433E-05  0.2637939525562E-05  0.2953408476518E-05  0.3268877427474E-05
  94  0.2995987237425E-05  0.2628994738299E-05  0.2946888194703E-05  0.3264781651107E-05
  95  0.3004315208188E-05  0.2642778331370E-05  0.2962565988500E-05  0.3282353645631E-05
  96  0.3018534903361E-05  0.2672655188069E-05  0.2992665468769E-05  0.3312675749470E-05
  97  0.3033509054890E-05  0.2698911962164E-05  0.3018652976116E-05  0.3338393990069E-05
  98  0.3046267805115E-05  0.2711525255192E-05  0.3036714574244E-05  0.3361903893295E-05
  99  0.3048323092042E-05  0.2707956465453E-05  0.3036114269964E-05  0.3364272074475E-05
 100  0.3041125052805E-05  0.2707913267345E-05  0.3037059333475E-05  0.3366205399604E-05
 101  0.3040360940694E-05  0.2721175644169E-05  0.3050282618967E-05  0.3379389593766E-05
 102  0.3049506483714E-05  0.2725375642698E-05  0.3057805388261E-05  0.3390235133825E-05
 103  0.3045917176239E-05  0.2715141694340E-05  0.3054899735220E-05  0.3394657776100E-05
 104  0.3015561724446E-05  0.2700903784521E-05  0.3041100721864E-05  0.3381297659207E-05
 105  0.2981521555575E-05  0.2696871658716E-05  0.3032613293773E-05  0.3368354928830E-05
 106  0.2972987132610E-05  0.2703814804110E-05  0.3036719090912E-05  0.3369623377714E-05
 107  0.2976553672681E-05  0.2698671406489E-05  0.3031553276504E-05  0.3364435146519E-05
 108  0.2956708158884E-05  0.2673634580483E-05  0.2998558962383E-05  0.3323483344284E-05
 109  0.2914395932702E-05  0.2650393124479E-05  0.2970216577278E-05  0.3290040030078E-05
 110  0.2883538568316E-05  0.2630748091720E-05  0.2954784532610E-05  0.3278820973501E-05
 111  0.2872973148252E-05  0.2622765993999E-05  0.2949349009496E-05  0.3275932024992E-05
 112  0.2854569528407E-05  0.2599180632585E-05  0.2927829809886E-05  0.3256478987187E-05
 113  0.2817244793740E-05  0.2564072665682E-05  0.2895826081403E-05  0.3227579497123E-05
 114  0.2779520521141E-05  0.2541990509101E-05  0.2869471580502E-05  0.3196952651903E-05
 115  0.2749820571130E-05  0.2529213193839E-05  0.2847739986413E-05  0.3166266778986E-05
 116  0.2715347011510E-05  0.2498030755261E-05  0.2813426990276E-05  0.3128823225291E-05
 117  0.2678853907341E-05  0.2461937114967E-05  0.2778235057878E-05  0.3094533000789E-05
 118  0.2654080104962E-05  0.2438453380309E-05  0.2752645154838E-05  0.3066836929368E-05
 119  0.2634235720489E-05  0.2429045676257E-05  0.2739608298907E-05  0.3050170921557E-05
 120  0.2600839632392E-05  0.2412482746709E-05  0.2720293717234E-05  0.3028104687759E-05
 121  0.2573307323019E-05  0.2436321601454E-05  0.2752439820218E-05  0.3068558038982E-05
 122  0.2534954756703E-05  0.2408195848027E-05  0.2723847814690E-05  0.3039499781353E-05
 123  0.2498451744937E-05  0.2381638111889E-05  0.2691744442330E-05  0.3001850772771E-05
 124  0.2452550273344E-05  0.2342715147365E-05  0.2647600402056E-05  0.2952485656747E-05
 125  0.2405223926972E-05  0.2300724380492E-05  0.2604087807883E-05  0.2907451235274E-05
 126  0.2364511855020E-05  0.2266608387762E-05  0.2568179941373E-05  0.2869751494984E-05
 127  0.2327349482427E-05  0.2235871996031E-05  0.2534724259106E-05  0.2833576522182E-05
 128  0.2291770468188E-05  0.2208147688148E-05  0.2502391705003E-05  0.2796635721857E-05
 129  0.2258080800489E-05  0.2180900285501E-05  0.2474210305546E-05  0.2767520325591E-05
 130  0.2221964410375E-05  0.2153389061606E-05  0.2445630369202E-05  0.2737871676798E-05
 131  0.2183270232840E-05  0.2120908299458E-05  0.2412244411977E-05  0.2703580524495E-05
