#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6430087491215E-08  0.5651375308198E-08  0.6432334379856E-08  0.7213293451514E-08
   2  0.1070611031166E-05  0.1030181555645E-05  0.1070919785660E-05  0.1111658015675E-05
   3  0.2295548128488E-05  0.2234937179058E-05  0.2297052565327E-05  0.2359167951597E-05
   4  0.1858273228660E-05  0.1816690541296E-05  0.1859927084000E-05  0.1903163626705E-05
   5  0.5921780209709E-06  0.5768345209517E-06  0.5930144259683E-06  0.6091943309849E-06
   6  0.2480255253806E-06  0.2355733405674E-06  0.2481891079905E-06  0.2608048754136E-06
   7  0.9793781683041E-06  0.9443690055491E-06  0.9804446414470E-06  0.1016520277345E-05
   8  0.1457557153079E-05  0.1407938421788E-05  0.1458900059939E-05  0.1509861698091E-05
   9  0.9475244243307E-06  0.9016601029755E-06  0.9484437519354E-06  0.9952274008953E-06
  10  0.2593148550518E-06  0.2353393891913E-06  0.2594133815770E-06  0.2834873739626E-06
  11  0.3210113569190E-06  0.2976422375027E-06  0.3212010881373E-06  0.3447599387720E-06
  12  0.7992972722634E-06  0.7526814853919E-06  0.8003845971741E-06  0.8480877089564E-06
  13  0.1029668841906E-05  0.9695647783892E-06  0.1031060160812E-05  0.1092555543235E-05
  14  0.1148289918914E-05  0.1078743913889E-05  0.1150103153659E-05  0.1221462393430E-05
  15  0.1237994718827E-05  0.1172836282070E-05  0.1240530959584E-05  0.1308225637098E-05
  16  0.9151800271646E-06  0.8616048079853E-06  0.9176050080019E-06  0.9736052080184E-06
  17  0.4587530411223E-06  0.4165022495709E-06  0.4602563388508E-06  0.5040104281306E-06
  18  0.5524145651874E-06  0.4987493343157E-06  0.5533978633330E-06  0.6080463923504E-06
  19  0.9443280616815E-06  0.8764294999788E-06  0.9452572638584E-06  0.1014085027738E-05
  20  0.1006191155613E-05  0.9343912569938E-06  0.1007015328479E-05  0.1079639399963E-05
  21  0.8566571251665E-06  0.7870194378236E-06  0.8571515256112E-06  0.9272836133988E-06
  22  0.7858448264704E-06  0.7101474691342E-06  0.7851537915700E-06  0.8601601140058E-06
  23  0.6526684200878E-06  0.5765526427914E-06  0.6509315178382E-06  0.7253103928849E-06
  24  0.4719656143933E-06  0.4068623446127E-06  0.4716818543049E-06  0.5365013639971E-06
  25  0.5555320821567E-06  0.4896383186793E-06  0.5576167536487E-06  0.6255951886180E-06
  26  0.8286894650290E-06  0.7434740934317E-06  0.8306248097004E-06  0.9177755259691E-06
  27  0.8708912412924E-06  0.7805356045481E-06  0.8714122111492E-06  0.9622888177503E-06
  28  0.6698815403936E-06  0.5905012930873E-06  0.6685728528386E-06  0.7466444125900E-06
  29  0.6184417741266E-06  0.5352409193022E-06  0.6157887051101E-06  0.6963364909180E-06
  30  0.7912506920559E-06  0.6893840145038E-06  0.7893264686981E-06  0.8892689228923E-06
  31  0.8601760857632E-06  0.7519053504346E-06  0.8593296415841E-06  0.9667539327336E-06
  32  0.7341819800119E-06  0.6405765878513E-06  0.7317560619776E-06  0.8229355361040E-06
  33  0.7044977561618E-06  0.6118866817604E-06  0.6987276887603E-06  0.7855686957601E-06
  34  0.8760414800502E-06  0.7662340702256E-06  0.8695884125870E-06  0.9729427549484E-06
  35  0.9780901048376E-06  0.8606561580517E-06  0.9751750743327E-06  0.1089693990614E-05
  36  0.8655311294702E-06  0.7534939979704E-06  0.8643994238239E-06  0.9753048496775E-06
  37  0.7687717080434E-06  0.6567771633897E-06  0.7629919884472E-06  0.8692068135047E-06
  38  0.8822882598804E-06  0.7553521214499E-06  0.8703566471847E-06  0.9853611729195E-06
  39  0.1051852512516E-05  0.9164875429292E-06  0.1039850088509E-05  0.1163212634089E-05
  40  0.1062320922902E-05  0.9268366295736E-06  0.1052501731783E-05  0.1178166833991E-05
  41  0.9775561024223E-06  0.8443523941518E-06  0.9673625241305E-06  0.1090372654109E-05
  42  0.9807349776557E-06  0.8408313272835E-06  0.9673284058731E-06  0.1093825484463E-05
  43  0.1063197901188E-05  0.9148048828977E-06  0.1048299037791E-05  0.1181793192684E-05
  44  0.1095037841975E-05  0.9441177249127E-06  0.1080121777062E-05  0.1216125829212E-05
  45  0.1069973357233E-05  0.9182699434993E-06  0.1054730112912E-05  0.1191190282324E-05
  46  0.1076590670746E-05  0.9205372122233E-06  0.1060885256154E-05  0.1201233300084E-05
  47  0.1131857813639E-05  0.9757005489651E-06  0.1117726349895E-05  0.1259752150825E-05
  48  0.1200226479378E-05  0.1037854931697E-05  0.1186664306704E-05  0.1335473681711E-05
  49  0.1278079736939E-05  0.1097583676812E-05  0.1261121428876E-05  0.1424659180940E-05
  50  0.1352777526472E-05  0.1156936057379E-05  0.1328827971408E-05  0.1500719885437E-05
  51  0.1385166503827E-05  0.1188029044149E-05  0.1360032558447E-05  0.1532036072745E-05
  52  0.1396841353606E-05  0.1205239820368E-05  0.1376491692532E-05  0.1547743564696E-05
  53  0.1456810558993E-05  0.1260794875643E-05  0.1441100182112E-05  0.1621405488581E-05
  54  0.1554555384175E-05  0.1347596971908E-05  0.1538356108845E-05  0.1729115245782E-05
