#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.9122517407876E-05  0.9069427480788E-05  0.9134787960046E-05  0.9200148439304E-05
   2  0.1906807512350E-04  0.1893653268776E-04  0.1909593788250E-04  0.1925534307724E-04
   3  0.1873564115748E-04  0.1859338893580E-04  0.1876492507977E-04  0.1893646122375E-04
   4  0.7485132365621E-05  0.7410357946354E-05  0.7500102347152E-05  0.7589846747950E-05
   5  0.1919092529948E-06  0.1850863233561E-06  0.1926751656811E-06  0.2002640080060E-06
   6  0.3914178242417E-05  0.3853767065312E-05  0.3907948826154E-05  0.3962130586997E-05
   7  0.9611093083964E-05  0.9503179003688E-05  0.9603518920615E-05  0.9703858837543E-05
   8  0.8583331441775E-05  0.8468784327547E-05  0.8578518740777E-05  0.8688253154007E-05
   9  0.3333860723488E-05  0.3250140386840E-05  0.3334587048268E-05  0.3419033709696E-05
  10  0.5832920074880E-06  0.5477901432849E-06  0.5802071433820E-06  0.6126241434791E-06
  11  0.2298552219420E-05  0.2218785269999E-05  0.2281860988829E-05  0.2344936707660E-05
  12  0.5079661785901E-05  0.4937920488491E-05  0.5049131662573E-05  0.5160342836655E-05
  13  0.5282451716993E-05  0.5125560896716E-05  0.5255964856840E-05  0.5386368816964E-05
  14  0.3462784026211E-05  0.3345292833541E-05  0.3454193047623E-05  0.3563093261705E-05
  15  0.2318588197132E-05  0.2236195349798E-05  0.2317991302511E-05  0.2399787255224E-05
  16  0.2141948512528E-05  0.2049808287302E-05  0.2128997292771E-05  0.2208186298241E-05
  17  0.1899559406964E-05  0.1787761337873E-05  0.1868896264972E-05  0.1950031192070E-05
  18  0.1986454591480E-05  0.1869728420714E-05  0.1950209987433E-05  0.2030691554152E-05
  19  0.2561769676694E-05  0.2431181301950E-05  0.2529136556102E-05  0.2627091810254E-05
  20  0.2620181813337E-05  0.2476543860392E-05  0.2583141770399E-05  0.2689739680406E-05
  21  0.2162867342945E-05  0.2004125015089E-05  0.2110299145633E-05  0.2216473276177E-05
  22  0.2003225079635E-05  0.1826077900298E-05  0.1937410004372E-05  0.2048742108445E-05
  23  0.1950387402068E-05  0.1761838622302E-05  0.1880806406914E-05  0.1999774191527E-05
  24  0.1657075235673E-05  0.1472368734311E-05  0.1586655495386E-05  0.1700942256460E-05
  25  0.1692596709713E-05  0.1496289636181E-05  0.1614362707470E-05  0.1732435778759E-05
  26  0.2227097034496E-05  0.1994613660627E-05  0.2134328135255E-05  0.2274042609883E-05
  27  0.2408835102432E-05  0.2155280903237E-05  0.2303647062982E-05  0.2452013222727E-05
  28  0.1982140540094E-05  0.1730741245876E-05  0.1870656085840E-05  0.2010570925804E-05
  29  0.1802444204718E-05  0.1543112970622E-05  0.1683946098242E-05  0.1824779225862E-05
  30  0.2127037411865E-05  0.1839361731429E-05  0.1998359306927E-05  0.2157356882426E-05
  31  0.2148652448995E-05  0.1850385810745E-05  0.2013980936224E-05  0.2177576061704E-05
  32  0.1714839092581E-05  0.1429762300258E-05  0.1577080370884E-05  0.1724398441510E-05
  33  0.1696098633871E-05  0.1392988162104E-05  0.1545211672597E-05  0.1697435183089E-05
  34  0.2231845424378E-05  0.1879137299196E-05  0.2058336486976E-05  0.2237535674757E-05
  35  0.2395204217917E-05  0.2009404840777E-05  0.2207207098350E-05  0.2405009355922E-05
  36  0.1921470713566E-05  0.1540101068462E-05  0.1731867284772E-05  0.1923633501083E-05
  37  0.1659230755622E-05  0.1275523000325E-05  0.1460880970200E-05  0.1646238940075E-05
  38  0.2030655866538E-05  0.1598643874831E-05  0.1805094201884E-05  0.2011544528936E-05
  39  0.2388598430801E-05  0.1907545456191E-05  0.2135377430629E-05  0.2363209405066E-05
