#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.9126605834106E-05  0.9077553024451E-05  0.9148091431735E-05  0.9218629839018E-05
   2  0.1907452047001E-04  0.1895885144504E-04  0.1913196259396E-04  0.1930507374288E-04
   3  0.1874170135874E-04  0.1862060408158E-04  0.1880879803634E-04  0.1899699199110E-04
   4  0.7488001950284E-05  0.7418527914104E-05  0.7518288289628E-05  0.7618048665151E-05
   5  0.1921622549361E-06  0.1845447555061E-06  0.1926277205793E-06  0.2007106856526E-06
   6  0.3914491668921E-05  0.3869894207648E-05  0.3930934647219E-05  0.3991975086790E-05
   7  0.9612453975595E-05  0.9536131250808E-05  0.9647764669740E-05  0.9759398088673E-05
   8  0.8585477144045E-05  0.8487450977952E-05  0.8606264485264E-05  0.8725077992577E-05
   9  0.3335833299172E-05  0.3242940188796E-05  0.3333006719737E-05  0.3423073250677E-05
  10  0.5837919707222E-06  0.5502313412752E-06  0.5851946288870E-06  0.6201579164987E-06
  11  0.2298176472471E-05  0.2246746591963E-05  0.2316402663756E-05  0.2386058735549E-05
  12  0.5079727887766E-05  0.4981489337612E-05  0.5099209653691E-05  0.5216929969769E-05
  13  0.5282653337248E-05  0.5149512254158E-05  0.5287971637307E-05  0.5426431020457E-05
  14  0.3463119081777E-05  0.3349262828281E-05  0.3466907850750E-05  0.3584552873219E-05
  15  0.2318691092019E-05  0.2246253186359E-05  0.2335230076007E-05  0.2424206965654E-05
  16  0.2140985250442E-05  0.2073819639549E-05  0.2160186612646E-05  0.2246553585744E-05
  17  0.1897623427374E-05  0.1817412115681E-05  0.1903899761898E-05  0.1990387408116E-05
  18  0.1984679050224E-05  0.1898741215582E-05  0.1982653084121E-05  0.2066564952660E-05
  19  0.2560280093028E-05  0.2462169199706E-05  0.2567546392117E-05  0.2672923584528E-05
  20  0.2617656027915E-05  0.2519166453783E-05  0.2632704007579E-05  0.2746241561375E-05
  21  0.2159477486549E-05  0.2056214735221E-05  0.2166232199477E-05  0.2276249663734E-05
  22  0.2001358644402E-05  0.1878094090722E-05  0.1991230065082E-05  0.2104366039442E-05
  23  0.1950687779456E-05  0.1816866098488E-05  0.1934992740331E-05  0.2053119382175E-05
  24  0.1657005734238E-05  0.1534729562119E-05  0.1649307295978E-05  0.1763885029836E-05
  25  0.1690185864085E-05  0.1568453559214E-05  0.1685326050316E-05  0.1802198541418E-05
  26  0.2224075626660E-05  0.2070366065242E-05  0.2208678278443E-05  0.2346990491644E-05
  27  0.2407498588045E-05  0.2241780712165E-05  0.2383370344888E-05  0.2524959977612E-05
  28  0.1981884536188E-05  0.1824779090234E-05  0.1953628144039E-05  0.2082477197844E-05
  29  0.1801564330891E-05  0.1636350581849E-05  0.1768901767416E-05  0.1901452952984E-05
  30  0.2125655350177E-05  0.1931293215219E-05  0.2083855914875E-05  0.2236418614531E-05
  31  0.2148018594113E-05  0.1949015091053E-05  0.2101431586789E-05  0.2253848082525E-05
  32  0.1715113459213E-05  0.1527897749285E-05  0.1658503751675E-05  0.1789109754065E-05
  33  0.1696331847802E-05  0.1507598817274E-05  0.1641189080690E-05  0.1774779344106E-05
  34  0.2231735742542E-05  0.1997254525044E-05  0.2158599909497E-05  0.2319945293951E-05
  35  0.2395487764947E-05  0.2133211294304E-05  0.2310259624877E-05  0.2487307955449E-05
  36  0.1922086906809E-05  0.1663947107925E-05  0.1831950611822E-05  0.1999954115719E-05
  37  0.1658805060547E-05  0.1414521025002E-05  0.1573238937936E-05  0.1731956850869E-05
  38  0.2029310715759E-05  0.1755926009460E-05  0.1930927225736E-05  0.2105928442012E-05
  39  0.2388380743201E-05  0.2092230572998E-05  0.2279736061367E-05  0.2467241549735E-05
  40  0.2202035837042E-05  0.1905998109109E-05  0.2094326106739E-05  0.2282654104370E-05
  41  0.1857665299504E-05  0.1558633605310E-05  0.1742814889682E-05  0.1926996174053E-05
  42  0.1906486428399E-05  0.1588840154619E-05  0.1778984447642E-05  0.1969128740665E-05
  43  0.2177837826645E-05  0.1847655563129E-05  0.2049371045795E-05  0.2251086528461E-05
  44  0.2180770291087E-05  0.1837744187693E-05  0.2042638512042E-05  0.2247532836391E-05
  45  0.1970632697315E-05  0.1630818321339E-05  0.1837211441614E-05  0.2043604561889E-05
  46  0.1963058599094E-05  0.1622239073996E-05  0.1828160555235E-05  0.2034082036475E-05
  47  0.2156598089293E-05  0.1833399897755E-05  0.2045817808531E-05  0.2258235719307E-05
  48  0.2243768007913E-05  0.1880011369398E-05  0.2108791241856E-05  0.2337571114315E-05
  49  0.2263174632372E-05  0.1823817986422E-05  0.2079532975897E-05  0.2335247965372E-05
  50  0.2449804013827E-05  0.2017899734043E-05  0.2295191877215E-05  0.2572484020387E-05
  51  0.2679314449739E-05  0.2231513512151E-05  0.2511379999034E-05  0.2791246485916E-05
  52  0.2700905799359E-05  0.2257059211393E-05  0.2538947608698E-05  0.2820836006002E-05
  53  0.2670275269291E-05  0.2216447890016E-05  0.2495234768414E-05  0.2774021646811E-05
  54  0.2881396489750E-05  0.2507340308780E-05  0.2824548002372E-05  0.3141755695963E-05
  55  0.3208954775967E-05  0.2763288818523E-05  0.3097359472496E-05  0.3431430126468E-05
  56  0.3310390858470E-05  0.2836416474612E-05  0.3181874392960E-05  0.3527332311308E-05
  57  0.3180874044785E-05  0.2716738627452E-05  0.3048432667961E-05  0.3380126708470E-05
  58  0.3109960578228E-05  0.2663564344824E-05  0.3003222716948E-05  0.3342881089071E-05
  59  0.3242685512533E-05  0.2733399328564E-05  0.3091473137152E-05  0.3449546945741E-05
  60  0.3452520786143E-05  0.2937198716251E-05  0.3307242215985E-05  0.3677285715719E-05
  61  0.3529727541180E-05  0.2967211867667E-05  0.3340979555509E-05  0.3714747243352E-05
  62  0.3409789720580E-05  0.2887845728580E-05  0.3251533220571E-05  0.3615220712563E-05
  63  0.3327061928002E-05  0.2791603797147E-05  0.3158596101782E-05  0.3525588406416E-05
  64  0.3585811401681E-05  0.2979771119302E-05  0.3380635667164E-05  0.3781500215026E-05
  65  0.4031267292732E-05  0.3342615148543E-05  0.3781762212721E-05  0.4220909276899E-05
  66  0.4162330820149E-05  0.3451264532713E-05  0.3899619755448E-05  0.4347974978183E-05
  67  0.3962777741847E-05  0.3323308360819E-05  0.3764395345386E-05  0.4205482329952E-05
  68  0.3970915067873E-05  0.3320126865349E-05  0.3751914811245E-05  0.4183702757141E-05
  69  0.4311026618009E-05  0.3575194845479E-05  0.4032576933175E-05  0.4489959020871E-05
  70  0.4488154656012E-05  0.3759884357629E-05  0.4224105797830E-05  0.4688327238030E-05
  71  0.4357617271530E-05  0.3698350062550E-05  0.4168536771994E-05  0.4638723481437E-05
  72  0.4377898547890E-05  0.3644269192534E-05  0.4130856595548E-05  0.4617443998563E-05
  73  0.4694499754516E-05  0.3895917401936E-05  0.4410029449653E-05  0.4924141497370E-05
  74  0.4874793513389E-05  0.4073786046826E-05  0.4597035964059E-05  0.5120285881291E-05
  75  0.4758065619718E-05  0.3959991281145E-05  0.4470037537014E-05  0.4980083792883E-05
  76  0.4755721602916E-05  0.3968375989327E-05  0.4465108036836E-05  0.4961840084344E-05
  77  0.5072182434321E-05  0.4192426113556E-05  0.4695989850645E-05  0.5199553587735E-05
  78  0.5317560117484E-05  0.4427442425910E-05  0.4949349526832E-05  0.5471256627753E-05
  79  0.5197144627760E-05  0.4344219028135E-05  0.4865174209360E-05  0.5386129390586E-05
  80  0.5032592600880E-05  0.4174779637537E-05  0.4691099370375E-05  0.5207419103212E-05
  81  0.5208735538585E-05  0.4262218636780E-05  0.4785297438677E-05  0.5308376240574E-05
  82  0.5519962233243E-05  0.4515554804408E-05  0.5060856494460E-05  0.5606158184512E-05
  83  0.5537797964130E-05  0.4553909444705E-05  0.5097528529017E-05  0.5641147613329E-05
  84  0.5338338362395E-05  0.4400596276315E-05  0.4943376509102E-05  0.5486156741888E-05
  85  0.5332812535553E-05  0.4363635979051E-05  0.4921465244528E-05  0.5479294510005E-05
  86  0.5547862368127E-05  0.4514796246115E-05  0.5086362352652E-05  0.5657928459189E-05
  87  0.5630178399719E-05  0.4580068877025E-05  0.5157773907748E-05  0.5735478938471E-05
  88  0.5492146136841E-05  0.4507865135802E-05  0.5083182690669E-05  0.5658500245535E-05
  89  0.5414247692562E-05  0.4474505800717E-05  0.5048586752239E-05  0.5622667703762E-05
  90  0.5516087151646E-05  0.4561260886215E-05  0.5137429386163E-05  0.5713597886112E-05
  91  0.5607886337922E-05  0.4650833484285E-05  0.5221731430878E-05  0.5792629377470E-05
  92  0.5577830411490E-05  0.4653181701201E-05  0.5214330974907E-05  0.5775480248613E-05
  93  0.5523693752334E-05  0.4620907309140E-05  0.5176918566217E-05  0.5732929823295E-05
  94  0.5506891682026E-05  0.4607954951641E-05  0.5164390227891E-05  0.5720825504140E-05
  95  0.5492422261041E-05  0.4600100328837E-05  0.5152804336224E-05  0.5705508343610E-05
  96  0.5493889022526E-05  0.4607922272029E-05  0.5157793235290E-05  0.5707664198551E-05
  97  0.5540897937764E-05  0.4641997520717E-05  0.5195361547119E-05  0.5748725573520E-05
  98  0.5572110465182E-05  0.4677288602387E-05  0.5235186368384E-05  0.5793084134381E-05
  99  0.5532338505728E-05  0.4611425396985E-05  0.5178165855082E-05  0.5744906313179E-05
 100  0.5482639789015E-05  0.4570865556429E-05  0.5140223180218E-05  0.5709580804007E-05
 101  0.5495428728765E-05  0.4607569029111E-05  0.5169134728893E-05  0.5730700428674E-05
 102  0.5535838967159E-05  0.4649252075218E-05  0.5209549455195E-05  0.5769846835172E-05
 103  0.5531617297223E-05  0.4637313988401E-05  0.5200496429067E-05  0.5763678869732E-05
 104  0.5479594039862E-05  0.4593435752723E-05  0.5160309292516E-05  0.5727182832309E-05
 105  0.5432558478007E-05  0.4577526607377E-05  0.5144793555647E-05  0.5712060503917E-05
 106  0.5420934878716E-05  0.4588319459517E-05  0.5148129486604E-05  0.5707939513691E-05
 107  0.5420419092696E-05  0.4594915175636E-05  0.5146099709497E-05  0.5697284243359E-05
 108  0.5385150705737E-05  0.4532403026068E-05  0.5076776485643E-05  0.5621149945219E-05
 109  0.5311851122447E-05  0.4492619817847E-05  0.5029260725023E-05  0.5565901632200E-05
 110  0.5246533990243E-05  0.4451291766140E-05  0.4986513287696E-05  0.5521734809253E-05
 111  0.5215753387514E-05  0.4435255658460E-05  0.4968534945351E-05  0.5501814232241E-05
 112  0.5194869459195E-05  0.4418826737149E-05  0.4946251694720E-05  0.5473676652290E-05
 113  0.5148797312320E-05  0.4365267693592E-05  0.4891010673432E-05  0.5416753653272E-05
 114  0.5080295017851E-05  0.4311418854862E-05  0.4830868975839E-05  0.5350319096815E-05
 115  0.5019049387355E-05  0.4280652924212E-05  0.4795017614166E-05  0.5309382304120E-05
 116  0.4973607307059E-05  0.4235841131661E-05  0.4739809089185E-05  0.5243777046708E-05
 117  0.4920427495636E-05  0.4186971842283E-05  0.4677664864375E-05  0.5168357886468E-05
 118  0.4848739668148E-05  0.4137234817510E-05  0.4618395244561E-05  0.5099555671613E-05
 119  0.4778130624872E-05  0.4095869867676E-05  0.4568559961499E-05  0.5041250055323E-05
 120  0.4723204323403E-05  0.4089560521966E-05  0.4560647363519E-05  0.5031734205072E-05
 121  0.4700627088043E-05  0.4160358423126E-05  0.4631751114547E-05  0.5103143805968E-05
 122  0.4629865989940E-05  0.4100791914124E-05  0.4559550270533E-05  0.5018308626941E-05
 123  0.4556012698118E-05  0.4066758195447E-05  0.4513501977164E-05  0.4960245758880E-05
 124  0.4483111214043E-05  0.3999543993183E-05  0.4440797878828E-05  0.4882051764473E-05
 125  0.4408537037231E-05  0.3941510500233E-05  0.4383741445909E-05  0.4825972391586E-05
 126  0.4335164506538E-05  0.3868654095482E-05  0.4305081882928E-05  0.4741509670374E-05
 127  0.4266110842179E-05  0.3834435443251E-05  0.4265764143394E-05  0.4697092843536E-05
 128  0.4199504059389E-05  0.3785899058121E-05  0.4207191901306E-05  0.4628484744490E-05
 129  0.4131667209620E-05  0.3730480280345E-05  0.4145744140276E-05  0.4561008000207E-05
 130  0.4062404781452E-05  0.3663475228939E-05  0.4069747666307E-05  0.4476020103676E-05
 131  0.3995676435406E-05  0.3630050536212E-05  0.4036331103779E-05  0.4442611671345E-05
 132  0.3933985115554E-05  0.3574229407218E-05  0.3972403210806E-05  0.4370577014395E-05
 133  0.3875553855246E-05  0.3531086291988E-05  0.3922584923708E-05  0.4314083555427E-05
 134  0.3814762107662E-05  0.3474737644484E-05  0.3861506322780E-05  0.4248275001075E-05
 135  0.3751075654077E-05  0.3431874390538E-05  0.3812004310630E-05  0.4192134230722E-05
 136  0.3692999226366E-05  0.3359567458487E-05  0.3738027654391E-05  0.4116487850295E-05
 137  0.3643136772148E-05  0.3330581450436E-05  0.3714510925544E-05  0.4098440400652E-05
 138  0.3589506823340E-05  0.3271095713225E-05  0.3643494686411E-05  0.4015893659596E-05
 139  0.3522227274345E-05  0.3226484109043E-05  0.3590305745046E-05  0.3954127381050E-05
 140  0.3452536700907E-05  0.3184541790061E-05  0.3540647793359E-05  0.3896753796656E-05
 141  0.3398886653786E-05  0.3138313024866E-05  0.3488132504908E-05  0.3837951984951E-05
 142  0.3360597906467E-05  0.3106144401084E-05  0.3449430289610E-05  0.3792716178136E-05
 143  0.3319826172465E-05  0.3088798243513E-05  0.3437990782075E-05  0.3787183320637E-05
 144  0.3266606919324E-05  0.3038263429645E-05  0.3385646901695E-05  0.3733030373745E-05
 145  0.3210180183285E-05  0.2992898729407E-05  0.3334686409249E-05  0.3676474089092E-05
 146  0.3162531810891E-05  0.2961303678897E-05  0.3301173030846E-05  0.3641042382796E-05
 147  0.3120180724463E-05  0.2908145166302E-05  0.3231853010953E-05  0.3555560855603E-05
 148  0.3071766789829E-05  0.2877097362309E-05  0.3201959060531E-05  0.3526820758753E-05
 149  0.3018364859548E-05  0.2845342102824E-05  0.3174338565744E-05  0.3503335028663E-05
 150  0.2970416943558E-05  0.2807629571573E-05  0.3134828250098E-05  0.3462026928622E-05
 151  0.2928353876428E-05  0.2772647149084E-05  0.3097582055267E-05  0.3422516961449E-05
 152  0.2883732444832E-05  0.2750443823001E-05  0.3078673226227E-05  0.3406902629452E-05
 153  0.2836669480693E-05  0.2719942267106E-05  0.3059246964682E-05  0.3398551662258E-05
 154  0.2793912170534E-05  0.2668416076812E-05  0.2985520094072E-05  0.3302624111331E-05
