#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
  68  0.2108798678428E-05  0.1900252008974E-05  0.2131907626540E-05  0.2363563244106E-05
  69  0.2244279097219E-05  0.2001536337016E-05  0.2243802555771E-05  0.2486068774527E-05
  70  0.2352834619525E-05  0.2130333501212E-05  0.2382597731090E-05  0.2634861960968E-05
  71  0.2345260053520E-05  0.2173707215436E-05  0.2448635902515E-05  0.2723564589594E-05
  72  0.2378163103767E-05  0.2163301045746E-05  0.2437875843470E-05  0.2712450641195E-05
  73  0.2511659686444E-05  0.2267875402178E-05  0.2546605044087E-05  0.2825334685996E-05
  74  0.2579001193047E-05  0.2330181544612E-05  0.2616194728333E-05  0.2902207912055E-05
  75  0.2531733267792E-05  0.2286139957453E-05  0.2563677097666E-05  0.2841214237879E-05
  76  0.2557893567125E-05  0.2305816382971E-05  0.2580693208090E-05  0.2855570033208E-05
  77  0.2723554826331E-05  0.2438644822814E-05  0.2718756073435E-05  0.2998867324057E-05
  78  0.2824378125475E-05  0.2550521884586E-05  0.2837712739982E-05  0.3124903595378E-05
  79  0.2741632224000E-05  0.2482757364802E-05  0.2769191564307E-05  0.3055625763812E-05
  80  0.2660296732123E-05  0.2386593977638E-05  0.2667111857821E-05  0.2947629738004E-05
  81  0.2762681488284E-05  0.2450669895336E-05  0.2735814126429E-05  0.3020958357521E-05
  82  0.2937462670088E-05  0.2619077095204E-05  0.2918175115929E-05  0.3217273136654E-05
  83  0.2981775697010E-05  0.2677449120044E-05  0.2981032598460E-05  0.3284616076876E-05
  84  0.2919175802589E-05  0.2613336081097E-05  0.2915745557167E-05  0.3218155033237E-05
  85  0.2918514983550E-05  0.2588451652859E-05  0.2891451222826E-05  0.3194450792794E-05
  86  0.3006289311370E-05  0.2653009166216E-05  0.2963643324142E-05  0.3274277482069E-05
  87  0.3055199417762E-05  0.2717470910224E-05  0.3038661007092E-05  0.3359851103961E-05
  88  0.3013322181279E-05  0.2701734690084E-05  0.3026510151940E-05  0.3351285613795E-05
  89  0.2970557700715E-05  0.2659414756230E-05  0.2980778860336E-05  0.3302142964442E-05
  90  0.2993526388348E-05  0.2664568871839E-05  0.2983272155010E-05  0.3301975438181E-05
  91  0.3034849721524E-05  0.2713574819991E-05  0.3027866935888E-05  0.3342159051785E-05
  92  0.3034719769006E-05  0.2740256291711E-05  0.3049931135798E-05  0.3359605979886E-05
  93  0.3008031972433E-05  0.2714324922940E-05  0.3023299793559E-05  0.3332274664179E-05
  94  0.2995987237425E-05  0.2682819386994E-05  0.2998175290314E-05  0.3313531193635E-05
  95  0.3004315208188E-05  0.2684158735880E-05  0.3002384174626E-05  0.3320609613372E-05
  96  0.3018534903361E-05  0.2709401056243E-05  0.3028104950998E-05  0.3346808845752E-05
  97  0.3033509054890E-05  0.2727198990655E-05  0.3043187796713E-05  0.3359176602772E-05
  98  0.3046267805115E-05  0.2738277566509E-05  0.3055850104763E-05  0.3373422643017E-05
  99  0.3048323092042E-05  0.2702713013101E-05  0.3023860853809E-05  0.3345008694517E-05
 100  0.3041125052805E-05  0.2693278713951E-05  0.3015695995499E-05  0.3338113277047E-05
 101  0.3040360940694E-05  0.2711712554571E-05  0.3029753250800E-05  0.3347793947029E-05
 102  0.3049506483714E-05  0.2731442169796E-05  0.3050919335967E-05  0.3370396502138E-05
 103  0.3045917176239E-05  0.2717499157439E-05  0.3040861328610E-05  0.3364223499781E-05
 104  0.3015561724446E-05  0.2680387507266E-05  0.3000786203572E-05  0.3321184899879E-05
 105  0.2981521555575E-05  0.2660695567270E-05  0.2976543266626E-05  0.3292390965981E-05
 106  0.2972987132610E-05  0.2675821313537E-05  0.2986517350437E-05  0.3297213387336E-05
 107  0.2976553672681E-05  0.2672728623445E-05  0.2983217378706E-05  0.3293706133968E-05
 108  0.2956708158884E-05  0.2639958124884E-05  0.2948884772506E-05  0.3257811420128E-05
 109  0.2914395932702E-05  0.2598132496462E-05  0.2902230575526E-05  0.3206328654590E-05
 110  0.2883538568316E-05  0.2565119028979E-05  0.2867506308242E-05  0.3169893587505E-05
 111  0.2872973148252E-05  0.2562787109959E-05  0.2864470490119E-05  0.3166153870279E-05
 112  0.2854569528407E-05  0.2558897163036E-05  0.2860247111343E-05  0.3161597059650E-05
 113  0.2817244793740E-05  0.2517727471925E-05  0.2817424520784E-05  0.3117121569643E-05
 114  0.2779520521141E-05  0.2491248005845E-05  0.2784705358673E-05  0.3078162711502E-05
 115  0.2749820571130E-05  0.2471888991981E-05  0.2760031228478E-05  0.3048173464976E-05
 116  0.2715347011510E-05  0.2430081188722E-05  0.2714609578540E-05  0.2999137968358E-05
 117  0.2678853907341E-05  0.2392516507778E-05  0.2672875586363E-05  0.2953234664948E-05
 118  0.2654080104962E-05  0.2370826119961E-05  0.2649624159271E-05  0.2928422198581E-05
 119  0.2634235720489E-05  0.2354011069256E-05  0.2628247212918E-05  0.2902483356579E-05
 120  0.2600839632392E-05  0.2343103822817E-05  0.2614828229665E-05  0.2886552636514E-05
