#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
  68  0.2108798678428E-05  0.1881824577182E-05  0.2126495649423E-05  0.2371166721664E-05
  69  0.2244279097219E-05  0.2009154051303E-05  0.2265819380696E-05  0.2522484710090E-05
  70  0.2352834619525E-05  0.2105554059240E-05  0.2369759790868E-05  0.2633965522496E-05
  71  0.2345260053520E-05  0.2088161828452E-05  0.2354650464193E-05  0.2621139099934E-05
  72  0.2378163103767E-05  0.2110497930121E-05  0.2386226107432E-05  0.2661954284743E-05
  73  0.2511659686444E-05  0.2239566422818E-05  0.2528251889226E-05  0.2816937355634E-05
  74  0.2579001193047E-05  0.2311270343413E-05  0.2603758573261E-05  0.2896246803108E-05
  75  0.2531733267792E-05  0.2263011697879E-05  0.2549117963074E-05  0.2835224228270E-05
  76  0.2557893567125E-05  0.2272342590934E-05  0.2554664036057E-05  0.2836985481180E-05
  77  0.2723554826331E-05  0.2416528793829E-05  0.2708914918861E-05  0.3001301043892E-05
  78  0.2824378125475E-05  0.2520402685880E-05  0.2820462995905E-05  0.3120523305930E-05
  79  0.2741632224000E-05  0.2455429428805E-05  0.2752891094071E-05  0.3050352759338E-05
  80  0.2660296732123E-05  0.2372884330786E-05  0.2667051123897E-05  0.2961217917008E-05
  81  0.2762681488284E-05  0.2449891807918E-05  0.2750635663241E-05  0.3051379518564E-05
  82  0.2937462670088E-05  0.2600341654392E-05  0.2917713224855E-05  0.3235084795318E-05
  83  0.2981775697010E-05  0.2648380659426E-05  0.2970313558545E-05  0.3292246457664E-05
  84  0.2919175802589E-05  0.2591671859418E-05  0.2910909573082E-05  0.3230147286746E-05
  85  0.2918514983550E-05  0.2576615588740E-05  0.2898383143085E-05  0.3220150697431E-05
  86  0.3006289311370E-05  0.2646584528710E-05  0.2977232672287E-05  0.3307880815863E-05
  87  0.3055199417762E-05  0.2699178475626E-05  0.3036638282461E-05  0.3374098089295E-05
  88  0.3013322181279E-05  0.2679415999629E-05  0.3014723126924E-05  0.3350030254220E-05
  89  0.2970557700715E-05  0.2649608224674E-05  0.2982880439287E-05  0.3316152653901E-05
  90  0.2993526388348E-05  0.2673477557460E-05  0.3007313825865E-05  0.3341150094270E-05
  91  0.3034849721524E-05  0.2720477432749E-05  0.3051626016101E-05  0.3382774599454E-05
  92  0.3034719769006E-05  0.2728769907935E-05  0.3056334940068E-05  0.3383899972201E-05
  93  0.3008031972433E-05  0.2699418742825E-05  0.3027869093174E-05  0.3356319443523E-05
  94  0.2995987237425E-05  0.2678099605188E-05  0.3009283312988E-05  0.3340467020789E-05
  95  0.3004315208188E-05  0.2687509183559E-05  0.3018192071812E-05  0.3348874960065E-05
  96  0.3018534903361E-05  0.2708804949337E-05  0.3040917468543E-05  0.3373029987749E-05
  97  0.3033509054890E-05  0.2722901096859E-05  0.3057678688108E-05  0.3392456279357E-05
  98  0.3046267805115E-05  0.2724667864884E-05  0.3059211828280E-05  0.3393755791675E-05
  99  0.3048323092042E-05  0.2717393907997E-05  0.3051768561382E-05  0.3386143214767E-05
 100  0.3041125052805E-05  0.2713679349058E-05  0.3049244067678E-05  0.3384808786299E-05
 101  0.3040360940694E-05  0.2720309621451E-05  0.3055391148379E-05  0.3390472675307E-05
 102  0.3049506483714E-05  0.2722479537243E-05  0.3056323727270E-05  0.3390167917296E-05
 103  0.3045917176239E-05  0.2702366969288E-05  0.3036934104549E-05  0.3371501239810E-05
 104  0.3015561724446E-05  0.2672655710072E-05  0.3005116203328E-05  0.3337576696583E-05
 105  0.2981521555575E-05  0.2654806303047E-05  0.2985847982623E-05  0.3316889662200E-05
 106  0.2972987132610E-05  0.2659447404243E-05  0.2988143733243E-05  0.3316840062243E-05
 107  0.2976553672681E-05  0.2662317235350E-05  0.2988699480619E-05  0.3315081725889E-05
 108  0.2956708158884E-05  0.2639841597843E-05  0.2963994064494E-05  0.3288146531146E-05
 109  0.2914395932702E-05  0.2605728684895E-05  0.2925254822690E-05  0.3244780960484E-05
 110  0.2883538568316E-05  0.2582983313875E-05  0.2899586590277E-05  0.3216189866680E-05
 111  0.2872973148252E-05  0.2573497368922E-05  0.2887301534483E-05  0.3201105700045E-05
 112  0.2854569528407E-05  0.2553356466872E-05  0.2865410174435E-05  0.3177463881998E-05
 113  0.2817244793740E-05  0.2523038412470E-05  0.2831004708793E-05  0.3138971005116E-05
 114  0.2779520521141E-05  0.2497432954521E-05  0.2800080733092E-05  0.3102728511662E-05
 115  0.2749820571130E-05  0.2475357383497E-05  0.2772713783268E-05  0.3070070183040E-05
 116  0.2715347011510E-05  0.2441545569631E-05  0.2734234551209E-05  0.3026923532788E-05
 117  0.2678853907341E-05  0.2401296854035E-05  0.2691668691378E-05  0.2982040528721E-05
 118  0.2654080104962E-05  0.2373945035958E-05  0.2661046161314E-05  0.2948147286670E-05
 119  0.2634235720489E-05  0.2353667139401E-05  0.2634964771013E-05  0.2916262402624E-05
 120  0.2600839632392E-05  0.2320623142862E-05  0.2596459275879E-05  0.2872295408895E-05
 121  0.2573307323019E-05  0.2295605694332E-05  0.2567370606491E-05  0.2839135518649E-05
 122  0.2534954756703E-05  0.2264165410203E-05  0.2530570403452E-05  0.2796975396700E-05
