#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6430087491215E-08  0.5640019609363E-08  0.6407795541171E-08  0.7175571472979E-08
   2  0.1070611031166E-05  0.1031655712433E-05  0.1072238123058E-05  0.1112820533684E-05
   3  0.2295548128488E-05  0.2236935436925E-05  0.2298730162456E-05  0.2360524887986E-05
   4  0.1858273228660E-05  0.1817786375997E-05  0.1860691389482E-05  0.1903596402967E-05
   5  0.5921780209709E-06  0.5769962570037E-06  0.5931057765780E-06  0.6092152961523E-06
   6  0.2480255253806E-06  0.2355564184555E-06  0.2481612133732E-06  0.2607660082910E-06
   7  0.9793781683041E-06  0.9439177017071E-06  0.9800664586125E-06  0.1016215215518E-05
   8  0.1457557153079E-05  0.1407189630983E-05  0.1458133352646E-05  0.1509077074310E-05
   9  0.9475244243307E-06  0.9011361401853E-06  0.9477669602033E-06  0.9943977802213E-06
  10  0.2593148550518E-06  0.2350121455937E-06  0.2590507189317E-06  0.2830892922698E-06
  11  0.3210113569190E-06  0.2971839748749E-06  0.3207184327107E-06  0.3442528905465E-06
  12  0.7992972722634E-06  0.7512190338434E-06  0.7989608472507E-06  0.8467026606580E-06
  13  0.1029668841906E-05  0.9676576867989E-06  0.1028694004834E-05  0.1089730322868E-05
  14  0.1148289918914E-05  0.1077536427658E-05  0.1148292292014E-05  0.1219048156370E-05
  15  0.1237994718827E-05  0.1172703902290E-05  0.1240388437285E-05  0.1308072972281E-05
  16  0.9151800271646E-06  0.8614323434208E-06  0.9175115837700E-06  0.9735908241192E-06
  17  0.4587530411223E-06  0.4144545174080E-06  0.4580610564123E-06  0.5016675954167E-06
  18  0.5524145651874E-06  0.4959897076249E-06  0.5501066348345E-06  0.6042235620440E-06
  19  0.9443280616815E-06  0.8743936027734E-06  0.9431372035977E-06  0.1011880804422E-05
  20  0.1006191155613E-05  0.9327790000547E-06  0.1005577009751E-05  0.1078375019447E-05
  21  0.8566571251665E-06  0.7842881804568E-06  0.8543280487000E-06  0.9243679169431E-06
  22  0.7858448264704E-06  0.7067123044535E-06  0.7810874194193E-06  0.8554625343852E-06
  23  0.6526684200878E-06  0.5735433527060E-06  0.6472482411100E-06  0.7209531295140E-06
  24  0.4719656143933E-06  0.4039140322314E-06  0.4681123661309E-06  0.5323107000304E-06
  25  0.5555320821567E-06  0.4849784837711E-06  0.5526812076068E-06  0.6203839314426E-06
  26  0.8286894650290E-06  0.7378219218500E-06  0.8246281595858E-06  0.9114343973216E-06
  27  0.8708912412924E-06  0.7756804177055E-06  0.8657093425984E-06  0.9557382674914E-06
  28  0.6698815403936E-06  0.5856359178181E-06  0.6629447324380E-06  0.7402535470578E-06
  29  0.6184417741266E-06  0.5290979290030E-06  0.6091445220447E-06  0.6891911150865E-06
  30  0.7912506920559E-06  0.6827193066587E-06  0.7823191088721E-06  0.8819189110855E-06
  31  0.8601760857632E-06  0.7468406131027E-06  0.8535133981359E-06  0.9601861831691E-06
  32  0.7341819800119E-06  0.6357705271732E-06  0.7265383144432E-06  0.8173061017131E-06
  33  0.7044977561618E-06  0.6056230990198E-06  0.6917630579504E-06  0.7779030168810E-06
  34  0.8760414800502E-06  0.7576932672968E-06  0.8603910472144E-06  0.9630888271320E-06
  35  0.9780901048376E-06  0.8522223359612E-06  0.9660157094371E-06  0.1079809082913E-05
  36  0.8655311294702E-06  0.7469129273543E-06  0.8569074393001E-06  0.9669019512459E-06
  37  0.7687717080434E-06  0.6495709809100E-06  0.7556696881484E-06  0.8617683953867E-06
  38  0.8822882598804E-06  0.7465203536316E-06  0.8609347514606E-06  0.9753491492895E-06
  39  0.1051852512516E-05  0.9062599827084E-06  0.1028749004434E-05  0.1151238026160E-05
  40  0.1062320922902E-05  0.9169434130213E-06  0.1041833586372E-05  0.1166723759723E-05
  41  0.9775561024223E-06  0.8349086734170E-06  0.9574142981871E-06  0.1079919922957E-05
  42  0.9807349776557E-06  0.8300759280136E-06  0.9566410146992E-06  0.1083206101385E-05
  43  0.1063197901188E-05  0.9030353762256E-06  0.1036599314226E-05  0.1170163252226E-05
