#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6469009938316E-08  0.5703826912892E-08  0.6490852685551E-08  0.7277878458210E-08
   2  0.1068582529596E-05  0.1029285141869E-05  0.1068739389116E-05  0.1108193636362E-05
   3  0.2293576810046E-05  0.2236015943179E-05  0.2296830072659E-05  0.2357644202138E-05
   4  0.1858060089776E-05  0.1818581516116E-05  0.1861549136932E-05  0.1904516757747E-05
   5  0.5928035603982E-06  0.5772901468109E-06  0.5932442345015E-06  0.6091983221922E-06
   6  0.2476951800000E-06  0.2373837037993E-06  0.2494993089563E-06  0.2616149141134E-06
   7  0.9782637066986E-06  0.9507664030152E-06  0.9852760372841E-06  0.1019785671553E-05
   8  0.1456941381801E-05  0.1413553278568E-05  0.1462510491240E-05  0.1511467703913E-05
   9  0.9477572268610E-06  0.9017169954276E-06  0.9476724585077E-06  0.9936279215879E-06
  10  0.2594882935386E-06  0.2352859503518E-06  0.2588390472721E-06  0.2823921441923E-06
  11  0.3208364477571E-06  0.3031191046699E-06  0.3265196628135E-06  0.3499202209572E-06
  12  0.7992061630350E-06  0.7641805449353E-06  0.8107403391227E-06  0.8573001333100E-06
  13  0.1030069015788E-05  0.9826998370403E-06  0.1041786040189E-05  0.1100872243338E-05
  14  0.1149064364375E-05  0.1090921170917E-05  0.1159859489213E-05  0.1228797807509E-05
  15  0.1238714636223E-05  0.1181403765583E-05  0.1248196449835E-05  0.1314989134088E-05
  16  0.9152538083463E-06  0.8647606043420E-06  0.9194269884670E-06  0.9740933725919E-06
  17  0.4585237949820E-06  0.4175050041778E-06  0.4594627595916E-06  0.5014205150054E-06
  18  0.5529149301554E-06  0.5077981069102E-06  0.5596062136079E-06  0.6114143203055E-06
  19  0.9453966169014E-06  0.8930161968477E-06  0.9591313161116E-06  0.1025246435375E-05
  20  0.1006113698616E-05  0.9496469537271E-06  0.1019012978811E-05  0.1088379003896E-05
  21  0.8553053290920E-06  0.7957708799304E-06  0.8624158946789E-06  0.9290609094275E-06
  22  0.7855051905755E-06  0.7169081634364E-06  0.7874312109806E-06  0.8579542585247E-06
  23  0.6543285347764E-06  0.5839985820722E-06  0.6531569341415E-06  0.7223152862108E-06
  24  0.4735628651003E-06  0.4124434890423E-06  0.4723729065930E-06  0.5323023241436E-06
  25  0.5554065236029E-06  0.4885583637129E-06  0.5539385615929E-06  0.6193187594728E-06
  26  0.8281016302655E-06  0.7409204616529E-06  0.8253160413982E-06  0.9097116211434E-06
  27  0.8715724553520E-06  0.7826532725533E-06  0.8674592164804E-06  0.9522651604075E-06
  28  0.6714063233346E-06  0.5951616363176E-06  0.6670030580284E-06  0.7388444797393E-06
  29  0.6195760873530E-06  0.5344098127816E-06  0.6100272474803E-06  0.6856446821791E-06
  30  0.7917620876376E-06  0.6810505434865E-06  0.7774395538228E-06  0.8738285641590E-06
  31  0.8605291839063E-06  0.7415130083751E-06  0.8430792061464E-06  0.9446454039178E-06
  32  0.7346933848268E-06  0.6349756302526E-06  0.7192587029236E-06  0.8035417755945E-06
  33  0.7053413642797E-06  0.6076173510371E-06  0.6874665531314E-06  0.7673157552256E-06
  34  0.8772487287993E-06  0.7550272023227E-06  0.8539269766440E-06  0.9528267509653E-06
  35  0.9794433405729E-06  0.8431957796608E-06  0.9524191788850E-06  0.1061642578109E-05
  36  0.8665309076204E-06  0.7336649734400E-06  0.8358492818368E-06  0.9380335902336E-06
  37  0.7691690158458E-06  0.6352396018901E-06  0.7315577457744E-06  0.8278758896587E-06
  38  0.8828451794792E-06  0.7311208336528E-06  0.8370633687895E-06  0.9430059039263E-06
  39  0.1053504947490E-05  0.8924199240715E-06  0.1010338293501E-05  0.1128256662930E-05
  40  0.1064153654480E-05  0.9058058198347E-06  0.1026391670119E-05  0.1146977520403E-05
  41  0.9773871768931E-06  0.8099912605513E-06  0.9260285362917E-06  0.1042065812032E-05
  42  0.9785237592421E-06  0.8055637771997E-06  0.9231668461668E-06  0.1040769915134E-05
  43  0.1061763476139E-05  0.8777074212451E-06  0.1001030842327E-05  0.1124354263409E-05
  44  0.1096307332135E-05  0.9019881758197E-06  0.1029192801729E-05  0.1156397427639E-05
  45  0.1072490746866E-05  0.8666505158331E-06  0.9969302280628E-06  0.1127209940293E-05
  46  0.1077900528310E-05  0.8668816010804E-06  0.9999913589149E-06  0.1133101116749E-05
  47  0.1131584572211E-05  0.9373285312626E-06  0.1071857217469E-05  0.1206385903676E-05
  48  0.1199671958078E-05  0.9738082126882E-06  0.1117090740473E-05  0.1260373268257E-05
  49  0.1278298489781E-05  0.1019359534289E-05  0.1176248571654E-05  0.1333137609020E-05
  50  0.1353945657911E-05  0.1088164392006E-05  0.1254497509254E-05  0.1420830626501E-05
  51  0.1386582607212E-05  0.1128331939798E-05  0.1293463466667E-05  0.1458594993536E-05
  52  0.1397102252258E-05  0.1140417610207E-05  0.1305980612914E-05  0.1471543615621E-05
  53  0.1455318304346E-05  0.1184946084871E-05  0.1360200465654E-05  0.1535454846436E-05
  54  0.1553050637736E-05  0.1307627348486E-05  0.1490598241611E-05  0.1673569134736E-05
  55  0.1615044765865E-05  0.1338480210497E-05  0.1525425707073E-05  0.1712371203648E-05
  56  0.1630278478523E-05  0.1356881943704E-05  0.1544220278027E-05  0.1731558612349E-05
  57  0.1647055195095E-05  0.1386851178296E-05  0.1575129158147E-05  0.1763407137999E-05
  58  0.1677246491125E-05  0.1405477262091E-05  0.1602627347125E-05  0.1799777432159E-05
  59  0.1719682963732E-05  0.1454627445281E-05  0.1655722574045E-05  0.1856817702810E-05
  60  0.1800252967870E-05  0.1522833694816E-05  0.1726540435251E-05  0.1930247175686E-05
  61  0.1886304156395E-05  0.1614900648714E-05  0.1824194969859E-05  0.2033489291003E-05
  62  0.1885369124665E-05  0.1619444313805E-05  0.1830119395266E-05  0.2040794476728E-05
  63  0.1830551589144E-05  0.1552389171648E-05  0.1761503973798E-05  0.1970618775947E-05
  64  0.1890068130937E-05  0.1603039650478E-05  0.1817676425106E-05  0.2032313199734E-05
  65  0.2075800561212E-05  0.1776495009947E-05  0.2005911787229E-05  0.2235328564512E-05
  66  0.2176558121982E-05  0.1888776520737E-05  0.2124995145117E-05  0.2361213769498E-05
  67  0.2119906580832E-05  0.1855064898865E-05  0.2087042509398E-05  0.2319020119932E-05
  68  0.2108798678428E-05  0.1839507056421E-05  0.2067086784097E-05  0.2294666511774E-05
  69  0.2244279097219E-05  0.1950331800227E-05  0.2190317373173E-05  0.2430302946120E-05
  70  0.2352834619525E-05  0.2062588303033E-05  0.2312652553604E-05  0.2562716804175E-05
  71  0.2345260053520E-05  0.2091577402945E-05  0.2353652620715E-05  0.2615727838484E-05
  72  0.2378163103767E-05  0.2096691883486E-05  0.2364410203616E-05  0.2632128523746E-05
  73  0.2511659686444E-05  0.2207790630939E-05  0.2486852669948E-05  0.2765914708956E-05
  74  0.2579001193047E-05  0.2272069428817E-05  0.2555502777369E-05  0.2838936125922E-05
  75  0.2531733267792E-05  0.2234167159182E-05  0.2507754028328E-05  0.2781340897474E-05
  76  0.2557893567125E-05  0.2261578371566E-05  0.2531828492448E-05  0.2802078613331E-05
  77  0.2723554826331E-05  0.2396694260961E-05  0.2676097811753E-05  0.2955501362544E-05
  78  0.2824378125475E-05  0.2506112380625E-05  0.2793404771523E-05  0.3080697162421E-05
  79  0.2741632224000E-05  0.2443823477023E-05  0.2730300761677E-05  0.3016778046332E-05
  80  0.2660296732123E-05  0.2350841623440E-05  0.2631628442693E-05  0.2912415261945E-05
  81  0.2762681488284E-05  0.2424687566313E-05  0.2712081472932E-05  0.2999475379551E-05
  82  0.2937462670088E-05  0.2590577326071E-05  0.2894270414001E-05  0.3197963501932E-05
  83  0.2981775697010E-05  0.2652915383365E-05  0.2961814521386E-05  0.3270713659407E-05
  84  0.2919175802589E-05  0.2600050432156E-05  0.2906544489281E-05  0.3213038546407E-05
  85  0.2918514983550E-05  0.2573462174176E-05  0.2882218968362E-05  0.3190975762548E-05
  86  0.3006289311370E-05  0.2638935345448E-05  0.2955380474831E-05  0.3271825604214E-05
  87  0.3055199417762E-05  0.2703894963055E-05  0.3028638643069E-05  0.3353382323082E-05
  88  0.3013322181279E-05  0.2692621012934E-05  0.3019068987139E-05  0.3345516961343E-05
  89  0.2970557700715E-05  0.2654576340199E-05  0.2977781818961E-05  0.3300987297722E-05
  90  0.2993526388348E-05  0.2665375977935E-05  0.2989217882871E-05  0.3313059787808E-05
  91  0.3034849721524E-05  0.2717279690982E-05  0.3038385871525E-05  0.3359492052068E-05
  92  0.3034719769006E-05  0.2740232187199E-05  0.3058643021044E-05  0.3377053854890E-05
  93  0.3008031972433E-05  0.2715967311323E-05  0.3036973927441E-05  0.3357980543559E-05
  94  0.2995987237425E-05  0.2691633560607E-05  0.3014657419389E-05  0.3337681278171E-05
  95  0.3004315208188E-05  0.2700840547286E-05  0.3024548252287E-05  0.3348255957289E-05
  96  0.3018534903361E-05  0.2730972350010E-05  0.3056053654561E-05  0.3381134959111E-05
  97  0.3033509054890E-05  0.2754737755435E-05  0.3080242887472E-05  0.3405748019509E-05
  98  0.3046267805115E-05  0.2758016324992E-05  0.3088605651186E-05  0.3419194977380E-05
  99  0.3048323092042E-05  0.2744140012098E-05  0.3076526814967E-05  0.3408913617835E-05
 100  0.3041125052805E-05  0.2739996403211E-05  0.3073293876067E-05  0.3406591348924E-05
 101  0.3040360940694E-05  0.2753910290198E-05  0.3090673994665E-05  0.3427437699133E-05
 102  0.3049506483714E-05  0.2760906438920E-05  0.3103017984891E-05  0.3445129530863E-05
 103  0.3045917176239E-05  0.2752176265739E-05  0.3098256959152E-05  0.3444337652566E-05
 104  0.3015561724446E-05  0.2732034464288E-05  0.3075304246035E-05  0.3418574027783E-05
 105  0.2981521555575E-05  0.2720505904301E-05  0.3058460920310E-05  0.3396415936319E-05
 106  0.2972987132610E-05  0.2726565673033E-05  0.3062241103372E-05  0.3397916533712E-05
 107  0.2976553672681E-05  0.2724180630166E-05  0.3061220645652E-05  0.3398260661139E-05
 108  0.2956708158884E-05  0.2697716068268E-05  0.3026477284092E-05  0.3355238499916E-05
 109  0.2914395932702E-05  0.2666589218270E-05  0.2989496540225E-05  0.3312403862181E-05
 110  0.2883538568316E-05  0.2640417058422E-05  0.2967593644851E-05  0.3294770231280E-05
 111  0.2872973148252E-05  0.2634150499815E-05  0.2962897771891E-05  0.3291645043966E-05
 112  0.2854569528407E-05  0.2615779260770E-05  0.2943938423323E-05  0.3272097585876E-05
 113  0.2817244793740E-05  0.2581209263419E-05  0.2911020202261E-05  0.3240831141102E-05
 114  0.2779520521141E-05  0.2554947803603E-05  0.2881865327406E-05  0.3208782851209E-05
 115  0.2749820571130E-05  0.2538853484439E-05  0.2859026391637E-05  0.3179199298834E-05
 116  0.2715347011510E-05  0.2507376996632E-05  0.2822893291884E-05  0.3138409587135E-05
 117  0.2678853907341E-05  0.2469561778506E-05  0.2784156070897E-05  0.3098750363288E-05
 118  0.2654080104962E-05  0.2441795353537E-05  0.2755092815950E-05  0.3068390278364E-05
 119  0.2634235720489E-05  0.2429075881665E-05  0.2739841759111E-05  0.3050607636558E-05
 120  0.2600839632392E-05  0.2410602332587E-05  0.2717479459348E-05  0.3024356586109E-05
 121  0.2573307323019E-05  0.2433585508370E-05  0.2745709757774E-05  0.3057834007177E-05
 122  0.2534954756703E-05  0.2406083219816E-05  0.2715202790546E-05  0.3024322361276E-05
 123  0.2498451744937E-05  0.2380203110982E-05  0.2682824032559E-05  0.2985444954135E-05
 124  0.2452550273344E-05  0.2341042217485E-05  0.2638553431869E-05  0.2936064646252E-05
 125  0.2405223926972E-05  0.2299148223161E-05  0.2595202785499E-05  0.2891257347837E-05
 126  0.2364511855020E-05  0.2264060990849E-05  0.2559015315447E-05  0.2853969640046E-05
 127  0.2327349482427E-05  0.2231357885631E-05  0.2522932063639E-05  0.2814506241647E-05
 128  0.2291770468188E-05  0.2201234652211E-05  0.2486895041620E-05  0.2772555431029E-05
 129  0.2258080800489E-05  0.2173169795584E-05  0.2457170515395E-05  0.2741171235207E-05
 130  0.2221964410375E-05  0.2146463811373E-05  0.2428606319142E-05  0.2710748826911E-05
 131  0.2183270232840E-05  0.2114000497633E-05  0.2393844653804E-05  0.2673688809975E-05
 132  0.2151175540662E-05  0.2079403306294E-05  0.2357960641268E-05  0.2636517976243E-05
 133  0.2126768499206E-05  0.2053927947296E-05  0.2328264743318E-05  0.2602601539339E-05
 134  0.2099129305929E-05  0.2030104160239E-05  0.2301820796947E-05  0.2573537433655E-05
 135  0.2064448014968E-05  0.2004317314516E-05  0.2272859468372E-05  0.2541401622228E-05
 136  0.2031537127001E-05  0.1976987191347E-05  0.2241091619353E-05  0.2505196047359E-05
 137  0.2005820404832E-05  0.1949681056532E-05  0.2208975554241E-05  0.2468270051950E-05
 138  0.1981550520288E-05  0.1925844555667E-05  0.2179272247652E-05  0.2432699939637E-05
 139  0.1952726398309E-05  0.1901677705382E-05  0.2153161365023E-05  0.2404645024664E-05
 140  0.1920846069324E-05  0.1876760188719E-05  0.2128538380952E-05  0.2380316573185E-05
 141  0.1890997594003E-05  0.1853659258873E-05  0.2102004790337E-05  0.2350350321801E-05
 142  0.1865787947103E-05  0.1831577349787E-05  0.2074133229638E-05  0.2316689109488E-05
 143  0.1843985506321E-05  0.1809010195790E-05  0.2048277040587E-05  0.2287543885384E-05
 144  0.1822893558198E-05  0.1786832825564E-05  0.2024929642551E-05  0.2263026459538E-05
 145  0.1801140232008E-05  0.1764930563414E-05  0.2001797188291E-05  0.2238663813169E-05
 146  0.1778094256065E-05  0.1741748809357E-05  0.1977593167370E-05  0.2213437525382E-05
 147  0.1751908393939E-05  0.1719450303049E-05  0.1952090697561E-05  0.2184731092074E-05
 148  0.1722143147973E-05  0.1696199631214E-05  0.1925172672509E-05  0.2154145713804E-05
 149  0.1693974475704E-05  0.1673501267314E-05  0.1898978309928E-05  0.2124455352541E-05
 150  0.1673269817083E-05  0.1653271805878E-05  0.1876544836057E-05  0.2099817866237E-05
 151  0.1656454157763E-05  0.1635600935797E-05  0.1855810063724E-05  0.2076019191651E-05
 152  0.1635563374248E-05  0.1616943433427E-05  0.1832093499962E-05  0.2047243566497E-05
 153  0.1610590721440E-05  0.1594726784614E-05  0.1806702455153E-05  0.2018678125692E-05
 154  0.1588525872213E-05  0.1575143369366E-05  0.1785285365573E-05  0.1995427361781E-05
 155  0.1570981346338E-05  0.1559239772916E-05  0.1767627872925E-05  0.1976015972933E-05
 156  0.1552804901148E-05  0.1543778680111E-05  0.1748191051057E-05  0.1952603422002E-05
 157  0.1531814375872E-05  0.1524910428026E-05  0.1725652026167E-05  0.1926393624309E-05
 158  0.1511645423371E-05  0.1505137619005E-05  0.1704353853019E-05  0.1903570087033E-05
 159  0.1494825718743E-05  0.1490041358472E-05  0.1686047519997E-05  0.1882053681523E-05
 160  0.1480197191780E-05  0.1474584984673E-05  0.1667506459892E-05  0.1860427935110E-05
 161  0.1465441798806E-05  0.1456655520452E-05  0.1647590525921E-05  0.1838525531389E-05
 162  0.1448254473871E-05  0.1438264326270E-05  0.1628336113417E-05  0.1818407900564E-05
 163  0.1426711086961E-05  0.1419217346351E-05  0.1609097714432E-05  0.1798978082512E-05
 164  0.1403601580936E-05  0.1400001580805E-05  0.1587456829871E-05  0.1774912078937E-05
 165  0.1386420206537E-05  0.1381554304506E-05  0.1565522470073E-05  0.1749490635640E-05
 166  0.1377056569711E-05  0.1366869258526E-05  0.1548252321920E-05  0.1729635385315E-05
 167  0.1366411084321E-05  0.1355024802968E-05  0.1534536183836E-05  0.1714047564704E-05
 168  0.1346486894695E-05  0.1340844043963E-05  0.1518650944850E-05  0.1696457845736E-05
 169  0.1322745183615E-05  0.1322610189640E-05  0.1499078193826E-05  0.1675546198011E-05
 170  0.1305959147602E-05  0.1306184984548E-05  0.1479915699432E-05  0.1653646414315E-05
 171  0.1296674653778E-05  0.1294248054819E-05  0.1463612953698E-05  0.1632977852578E-05
 172  0.1285745882883E-05  0.1282585693969E-05  0.1448232623952E-05  0.1613879553935E-05
 173  0.1267475229023E-05  0.1267824868557E-05  0.1431345576754E-05  0.1594866284951E-05
 174  0.1246051250379E-05  0.1250453750526E-05  0.1413598412676E-05  0.1576743074826E-05
 175  0.1229129349266E-05  0.1235847806225E-05  0.1398178804453E-05  0.1560509802681E-05
 176  0.1217960114404E-05  0.1225527787130E-05  0.1385712806712E-05  0.1545897826294E-05
 177  0.1207001826106E-05  0.1214543020238E-05  0.1372294652046E-05  0.1530046283854E-05
 178  0.1193332675240E-05  0.1199866388850E-05  0.1355164831831E-05  0.1510463274812E-05
 179  0.1179929344387E-05  0.1183770044629E-05  0.1337083620695E-05  0.1490397196761E-05
 180  0.1167925920681E-05  0.1169482974211E-05  0.1320979027639E-05  0.1472475081068E-05
 181  0.1154142496377E-05  0.1156883683511E-05  0.1306237598079E-05  0.1455591512647E-05
 182  0.1138205720998E-05  0.1145463021829E-05  0.1291962945205E-05  0.1438462868582E-05
 183  0.1123813142894E-05  0.1133998778546E-05  0.1278559234137E-05  0.1423119689727E-05
 184  0.1112372816990E-05  0.1122390953589E-05  0.1265085336681E-05  0.1407779719773E-05
 185  0.1102128620534E-05  0.1110250629664E-05  0.1250767545735E-05  0.1391284461806E-05
 186  0.1091936620939E-05  0.1097967358747E-05  0.1236902918674E-05  0.1375838478601E-05
 187  0.1081487354708E-05  0.1086944938191E-05  0.1224147124321E-05  0.1361349310451E-05
 188  0.1070188651115E-05  0.1074504676079E-05  0.1210757610002E-05  0.1347010543924E-05
 189  0.1058287417876E-05  0.1060862108445E-05  0.1196084295357E-05  0.1331306482269E-05
 190  0.1046794423313E-05  0.1050700298664E-05  0.1184462757532E-05  0.1318225216399E-05
 191  0.1035382823304E-05  0.1050241244708E-05  0.1184694400460E-05  0.1319147556212E-05
 192  0.1022263684062E-05  0.1038095765322E-05  0.1168920149519E-05  0.1299744533717E-05
 193  0.1007297269716E-05  0.1018037783391E-05  0.1144750530357E-05  0.1271463277323E-05
 194  0.9939240469882E-06  0.1004655793432E-05  0.1130267498661E-05  0.1255879203891E-05
 195  0.9854009895163E-06  0.9967671793078E-06  0.1121846942635E-05  0.1246926705962E-05
 196  0.9794515457686E-06  0.9862556872805E-06  0.1109486164489E-05  0.1232716641698E-05
 197  0.9706150524885E-06  0.9754968484485E-06  0.1097134846777E-05  0.1218772845105E-05
 198  0.9579614001306E-06  0.9682307255279E-06  0.1089089371554E-05  0.1209948017580E-05
 199  0.9457695136699E-06  0.9753710602364E-06  0.1099636194636E-05  0.1223901329036E-05
 200  0.9368703839541E-06  0.9715582745414E-06  0.1095965121661E-05  0.1220371968780E-05
 201  0.9296326721652E-06  0.9527026939977E-06  0.1072307217790E-05  0.1191911741583E-05
 202  0.9209063191416E-06  0.9408280084653E-06  0.1058572414078E-05  0.1176316819691E-05
 203  0.9094499778051E-06  0.9315033282521E-06  0.1047760133676E-05  0.1164016939100E-05
 204  0.8970368886276E-06  0.9112834649997E-06  0.1023079449230E-05  0.1134875433460E-05
 205  0.8865444964732E-06  0.9076006579583E-06  0.1020001644361E-05  0.1132402630764E-05
 206  0.8784290076411E-06  0.8894036707269E-06  0.9986327235913E-06  0.1107861776456E-05
