#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
  21  0.2159477486549E-05  0.2060760098290E-05  0.2170863161981E-05  0.2280966225672E-05
  22  0.2001358644402E-05  0.1887832432474E-05  0.2000107187222E-05  0.2112381941970E-05
  23  0.1950687779456E-05  0.1825251245894E-05  0.1943208956429E-05  0.2061166666964E-05
  24  0.1657005734238E-05  0.1539200211382E-05  0.1653210274986E-05  0.1767220338591E-05
  25  0.1690185864085E-05  0.1568738274104E-05  0.1687278912997E-05  0.1805819551890E-05
  26  0.2224075626660E-05  0.2073764691295E-05  0.2213145119589E-05  0.2352525547883E-05
  27  0.2407498588045E-05  0.2248188161429E-05  0.2389042332126E-05  0.2529896502824E-05
  28  0.1981884536188E-05  0.1836587077927E-05  0.1964305888420E-05  0.2092024698912E-05
  29  0.1801564330891E-05  0.1650002209583E-05  0.1781841331435E-05  0.1913680453288E-05
  30  0.2125655350177E-05  0.1942569249718E-05  0.2097683954209E-05  0.2252798658701E-05
  31  0.2148018594113E-05  0.1955344344123E-05  0.2109433732496E-05  0.2263523120870E-05
  32  0.1715113459213E-05  0.1546685984115E-05  0.1674561343980E-05  0.1802436703845E-05
  33  0.1696331847802E-05  0.1522843319479E-05  0.1654225598432E-05  0.1785607877386E-05
  34  0.2231735742542E-05  0.2020214138635E-05  0.2183835147398E-05  0.2347456156161E-05
  35  0.2395487764947E-05  0.2157638383023E-05  0.2337882243583E-05  0.2518126104142E-05
  36  0.1922086906809E-05  0.1685219501803E-05  0.1853813823192E-05  0.2022408144582E-05
  37  0.1658805060547E-05  0.1423236734568E-05  0.1581077653430E-05  0.1738918572292E-05
  38  0.2029310715759E-05  0.1768365695692E-05  0.1943503693579E-05  0.2118641691466E-05
  39  0.2388380743201E-05  0.2110944295921E-05  0.2302337324920E-05  0.2493730353918E-05
  40  0.2202035837042E-05  0.1924106662772E-05  0.2116404074325E-05  0.2308701485878E-05
  41  0.1857665299504E-05  0.1568714159688E-05  0.1753918367615E-05  0.1939122575542E-05
  42  0.1906486428399E-05  0.1602894094020E-05  0.1795437630277E-05  0.1987981166535E-05
  43  0.2177837826645E-05  0.1851472564682E-05  0.2056463568023E-05  0.2261454571363E-05
  44  0.2180770291087E-05  0.1838742816569E-05  0.2048099275969E-05  0.2257455735370E-05
  45  0.1970632697315E-05  0.1621810101207E-05  0.1829760060414E-05  0.2037710019621E-05
  46  0.1963058599094E-05  0.1606345812303E-05  0.1816803853383E-05  0.2027261894463E-05
  47  0.2156598089293E-05  0.1806712442130E-05  0.2025201123728E-05  0.2243689805327E-05
  48  0.2243768007913E-05  0.1853675709144E-05  0.2086236736555E-05  0.2318797763967E-05
  49  0.2263174632372E-05  0.1822634247373E-05  0.2079020446743E-05  0.2335406646112E-05
  50  0.2449804013827E-05  0.1978349831618E-05  0.2255010529050E-05  0.2531671226481E-05
  51  0.2679314449739E-05  0.2185309235023E-05  0.2471797940758E-05  0.2758286646492E-05
  52  0.2700905799359E-05  0.2207113020397E-05  0.2489105471685E-05  0.2771097922973E-05
  53  0.2670275269291E-05  0.2176812454803E-05  0.2464232130410E-05  0.2751651806016E-05
  54  0.2881396489750E-05  0.2408290711926E-05  0.2717025680236E-05  0.3025760648546E-05
  55  0.3208954775967E-05  0.2670117804249E-05  0.3008061815206E-05  0.3346005826163E-05
  56  0.3310390858470E-05  0.2747322406646E-05  0.3099915914388E-05  0.3452509422130E-05
  57  0.3180874044785E-05  0.2638582651381E-05  0.2982810831106E-05  0.3327039010831E-05
  58  0.3109960578228E-05  0.2556982150434E-05  0.2908174301070E-05  0.3259366451707E-05
  59  0.3242685512533E-05  0.2672667207571E-05  0.3040159125324E-05  0.3407651043076E-05
  60  0.3452520786143E-05  0.2843984047365E-05  0.3222597758414E-05  0.3601211469463E-05
  61  0.3529727541180E-05  0.2924773909919E-05  0.3303383119805E-05  0.3681992329691E-05
  62  0.3409789720580E-05  0.2826957203495E-05  0.3196681943189E-05  0.3566406682883E-05
  63  0.3327061928002E-05  0.2721562678025E-05  0.3095874314903E-05  0.3470185951782E-05
  64  0.3585811401681E-05  0.2929372143994E-05  0.3335316664492E-05  0.3741261184991E-05
  65  0.4031267292732E-05  0.3333912280758E-05  0.3775734291512E-05  0.4217556302266E-05
  66  0.4162330820149E-05  0.3479863552190E-05  0.3927609203363E-05  0.4375354854536E-05
  67  0.3962777741847E-05  0.3327765610205E-05  0.3760788212132E-05  0.4193810814059E-05
  68  0.3970915067873E-05  0.3324490410809E-05  0.3755580049230E-05  0.4186669687651E-05
  69  0.4311026618009E-05  0.3616868567373E-05  0.4072142920142E-05  0.4527417272911E-05
  70  0.4488154656012E-05  0.3792722183080E-05  0.4254585214424E-05  0.4716448245768E-05
  71  0.4357617271530E-05  0.3709861133885E-05  0.4173636557253E-05  0.4637411980620E-05
  72  0.4377898547890E-05  0.3659462415011E-05  0.4147274443618E-05  0.4635086472224E-05
  73  0.4694499754516E-05  0.3921495530701E-05  0.4443140609428E-05  0.4964785688156E-05
  74  0.4874793513389E-05  0.4103039624911E-05  0.4630688299996E-05  0.5158336975081E-05
  75  0.4758065619718E-05  0.4010247257753E-05  0.4517117793676E-05  0.5023988329599E-05
  76  0.4755721602916E-05  0.4004303206545E-05  0.4498400317034E-05  0.4992497427523E-05
  77  0.5072182434321E-05  0.4241470782455E-05  0.4747831154371E-05  0.5254191526288E-05
  78  0.5317560117484E-05  0.4475020835177E-05  0.4997489881022E-05  0.5519958926867E-05
  79  0.5197144627760E-05  0.4389668374250E-05  0.4912719435630E-05  0.5435770497010E-05
  80  0.5032592600880E-05  0.4204776481259E-05  0.4724474209036E-05  0.5244171936814E-05
  81  0.5208735538585E-05  0.4319205237632E-05  0.4846651084061E-05  0.5374096930490E-05
  82  0.5519962233243E-05  0.4601761149066E-05  0.5142169622030E-05  0.5682578094993E-05
  83  0.5537797964130E-05  0.4660702384136E-05  0.5195447499107E-05  0.5730192614078E-05
  84  0.5338338362395E-05  0.4493855805703E-05  0.5029921163272E-05  0.5565986520841E-05
  85  0.5332812535553E-05  0.4436126408044E-05  0.4995656027840E-05  0.5555185647635E-05
  86  0.5547862368127E-05  0.4588645106817E-05  0.5164728333067E-05  0.5740811559317E-05
  87  0.5630178399719E-05  0.4681013364786E-05  0.5257134585503E-05  0.5833255806219E-05
  88  0.5492146136841E-05  0.4594694414694E-05  0.5165454746123E-05  0.5736215077552E-05
  89  0.5414247692562E-05  0.4529029836846E-05  0.5103439486351E-05  0.5677849135855E-05
  90  0.5516087151646E-05  0.4605776122732E-05  0.5189220136348E-05  0.5772664149963E-05
  91  0.5607886337922E-05  0.4695657181899E-05  0.5270606123335E-05  0.5845555064771E-05
  92  0.5577830411490E-05  0.4688889541124E-05  0.5247793141683E-05  0.5806696742243E-05
  93  0.5523693752334E-05  0.4646700924103E-05  0.5200919463821E-05  0.5755138003540E-05
