#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
  68  0.2108798678428E-05  0.7905668993715E-06  0.1233386977230E-05  0.1676207055088E-05
  69  0.2244279097219E-05  0.8728254267998E-06  0.1333241493121E-05  0.1793657559442E-05
  70  0.2352834619525E-05  0.8887579916273E-06  0.1380039253919E-05  0.1871320516211E-05
  71  0.2345260053520E-05  0.8333704347967E-06  0.1340313928919E-05  0.1847257423041E-05
  72  0.2378163103767E-05  0.8525506643147E-06  0.1364640568644E-05  0.1876730472974E-05
  73  0.2511659686444E-05  0.9519938100314E-06  0.1477623998406E-05  0.2003254186781E-05
  74  0.2579001193047E-05  0.9807417278766E-06  0.1518515806212E-05  0.2056289884547E-05
  75  0.2531733267792E-05  0.9207052670478E-06  0.1456246723913E-05  0.1991788180779E-05
  76  0.2557893567125E-05  0.9195860120365E-06  0.1457769551441E-05  0.1995953090845E-05
  77  0.2723554826331E-05  0.1013886471804E-05  0.1574330365505E-05  0.2134774259206E-05
  78  0.2824378125475E-05  0.1061773461107E-05  0.1640061737207E-05  0.2218350013308E-05
  79  0.2741632224000E-05  0.9999599532735E-06  0.1568657115928E-05  0.2137354278582E-05
  80  0.2660296732123E-05  0.9516691887141E-06  0.1504221344396E-05  0.2056773500078E-05
  81  0.2762681488284E-05  0.1007448179757E-05  0.1572964612903E-05  0.2138481046049E-05
  82  0.2937462670088E-05  0.1084616141508E-05  0.1684948242016E-05  0.2285280342523E-05
  83  0.2981775697010E-05  0.1085840801624E-05  0.1702073306083E-05  0.2318305810543E-05
  84  0.2919175802589E-05  0.1042957881569E-05  0.1651062960045E-05  0.2259168038521E-05
  85  0.2918514983550E-05  0.1041517411863E-05  0.1645841881131E-05  0.2250166350400E-05
  86  0.3006289311370E-05  0.1079602364728E-05  0.1697231226624E-05  0.2314860088520E-05
  87  0.3055199417762E-05  0.1094538880904E-05  0.1723225006550E-05  0.2351911132195E-05
  88  0.3013322181279E-05  0.1076825051869E-05  0.1698267653550E-05  0.2319710255232E-05
  89  0.2970557700715E-05  0.1075102762870E-05  0.1682750302441E-05  0.2290397842011E-05
  90  0.2993526388348E-05  0.1112254955086E-05  0.1712650460713E-05  0.2313045966339E-05
  91  0.3034849721524E-05  0.1152708477285E-05  0.1750342667188E-05  0.2347976857091E-05
  92  0.3034719769006E-05  0.1164207039831E-05  0.1756473287182E-05  0.2348739534533E-05
  93  0.3008031972433E-05  0.1159556678736E-05  0.1744473706291E-05  0.2329390733846E-05
  94  0.2995987237425E-05  0.1167452005692E-05  0.1744684024853E-05  0.2321916044014E-05
  95  0.3004315208188E-05  0.1193319067520E-05  0.1762280879952E-05  0.2331242692384E-05
  96  0.3018534903361E-05  0.1222739111239E-05  0.1785885219550E-05  0.2349031327860E-05
  97  0.3033509054890E-05  0.1249494297769E-05  0.1808568959690E-05  0.2367643621611E-05
  98  0.3046267805115E-05  0.1273815847827E-05  0.1827880893192E-05  0.2381945938556E-05
  99  0.3048323092042E-05  0.1296047761689E-05  0.1841637930519E-05  0.2387228099349E-05
 100  0.3041125052805E-05  0.1315776456699E-05  0.1851199529717E-05  0.2386622602735E-05
 101  0.3040360940694E-05  0.1333232479695E-05  0.1862343086640E-05  0.2391453693585E-05
 102  0.3049506483714E-05  0.1350517912745E-05  0.1876457421071E-05  0.2402396929396E-05
 103  0.3045917176239E-05  0.1367568085966E-05  0.1887166911755E-05  0.2406765737544E-05
 104  0.3015561724446E-05  0.1389557564982E-05  0.1892997336261E-05  0.2396437107541E-05
 105  0.2981521555575E-05  0.1419782313688E-05  0.1902505383534E-05  0.2385228453381E-05
 106  0.2972987132610E-05  0.1450642974445E-05  0.1919233749094E-05  0.2387824523744E-05
 107  0.2976553672681E-05  0.1469216006678E-05  0.1931476589296E-05  0.2393737171914E-05
 108  0.2956708158884E-05  0.1479409831318E-05  0.1930920455764E-05  0.2382431080210E-05
 109  0.2914395932702E-05  0.1498472729284E-05  0.1930447233314E-05  0.2362421737343E-05
 110  0.2883538568316E-05  0.1531163809518E-05  0.1943453878786E-05  0.2355743948054E-05
 111  0.2872973148252E-05  0.1561696944196E-05  0.1960358165900E-05  0.2359019387605E-05
 112  0.2854569528407E-05  0.1575592007401E-05  0.1963944984038E-05  0.2352297960675E-05
 113  0.2817244793740E-05  0.1585681526661E-05  0.1961124698191E-05  0.2336567869720E-05
 114  0.2779520521141E-05  0.1610127954586E-05  0.1967901330661E-05  0.2325674706736E-05
 115  0.2749820571130E-05  0.1640357810370E-05  0.1978806101426E-05  0.2317254392482E-05
 116  0.2715347011510E-05  0.1653964708403E-05  0.1977360316053E-05  0.2300755923703E-05
 117  0.2678853907341E-05  0.1661264885080E-05  0.1971770808830E-05  0.2282276732580E-05
 118  0.2654080104962E-05  0.1677549510472E-05  0.1978072125769E-05  0.2278594741066E-05
 119  0.2634235720489E-05  0.1699616056804E-05  0.1989780001909E-05  0.2279943947014E-05
 120  0.2600839632392E-05  0.1715945982020E-05  0.1990857303887E-05  0.2265768625754E-05
 121  0.2573307323019E-05  0.1732729902949E-05  0.1996742516622E-05  0.2260755130296E-05
 122  0.2534954756703E-05  0.1742027795025E-05  0.1997376862355E-05  0.2252725929685E-05
 123  0.2498451744937E-05  0.1758265512102E-05  0.2003089796611E-05  0.2247914081121E-05
 124  0.2452550273344E-05  0.1768233700035E-05  0.2003959402212E-05  0.2239685104389E-05
 125  0.2405223926972E-05  0.1771967122220E-05  0.2001799116466E-05  0.2231631110712E-05
 126  0.2364511855020E-05  0.1776414697366E-05  0.2000399920092E-05  0.2224385142819E-05
 127  0.2327349482427E-05  0.1780731407269E-05  0.1999925688981E-05  0.2219119970693E-05
 128  0.2291770468188E-05  0.1783531893643E-05  0.2001221501331E-05  0.2218911109018E-05
 129  0.2258080800489E-05  0.1786169655420E-05  0.2005995388189E-05  0.2225821120959E-05
 130  0.2221964410375E-05  0.1790083231955E-05  0.2011152105412E-05  0.2232220978869E-05
 131  0.2183270232840E-05  0.1789130427484E-05  0.2013578169758E-05  0.2238025912031E-05
 132  0.2151175540662E-05  0.1785559137210E-05  0.2015580923635E-05  0.2245602710059E-05
 133  0.2126768499206E-05  0.1785410447208E-05  0.2020890468420E-05  0.2256370489632E-05
 134  0.2099129305929E-05  0.1785368262851E-05  0.2029091782044E-05  0.2272815301237E-05
 135  0.2064448014968E-05  0.1782781407794E-05  0.2036028231932E-05  0.2289275056070E-05
 136  0.2031537127001E-05  0.1776455720039E-05  0.2038786805504E-05  0.2301117890970E-05
 137  0.2005820404832E-05  0.1771276627037E-05  0.2040312969823E-05  0.2309349312608E-05
 138  0.1981550520288E-05  0.1768119544376E-05  0.2045720375902E-05  0.2323321207427E-05
 139  0.1952726398309E-05  0.1763933092808E-05  0.2054504577235E-05  0.2345076061662E-05
 140  0.1920846069324E-05  0.1758151727799E-05  0.2061790579051E-05  0.2365429430302E-05
 141  0.1890997594003E-05  0.1751945704804E-05  0.2067052492484E-05  0.2382159280165E-05
 142  0.1865787947103E-05  0.1750033834233E-05  0.2074663714346E-05  0.2399293594459E-05
 143  0.1843985506321E-05  0.1750263454259E-05  0.2085407546032E-05  0.2420551637805E-05
 144  0.1822893558198E-05  0.1746477245737E-05  0.2094548860771E-05  0.2442620475805E-05
 145  0.1801140232008E-05  0.1740004117030E-05  0.2099398460592E-05  0.2458792804153E-05
 146  0.1778094256065E-05  0.1734196565911E-05  0.2103029751087E-05  0.2471862936264E-05
 147  0.1751908393939E-05  0.1730294813602E-05  0.2109441179257E-05  0.2488587544913E-05
 148  0.1722143147973E-05  0.1725791864521E-05  0.2119307226421E-05  0.2512822588321E-05
 149  0.1693974475704E-05  0.1720745911376E-05  0.2131405402723E-05  0.2542064894070E-05
 150  0.1673269817083E-05  0.1718573995903E-05  0.2143641778348E-05  0.2568709560792E-05
 151  0.1656454157763E-05  0.1717278359738E-05  0.2153211557154E-05  0.2589144754570E-05
 152  0.1635563374248E-05  0.1713816749850E-05  0.2160522167309E-05  0.2607227584769E-05
 153  0.1610590721440E-05  0.1708630148376E-05  0.2170061627865E-05  0.2631493107353E-05
 154  0.1588525872213E-05  0.1706309403805E-05  0.2182990527785E-05  0.2659671651766E-05
 155  0.1570981346338E-05  0.1706308198262E-05  0.2194141320918E-05  0.2681974443575E-05
 156  0.1552804901148E-05  0.1702172720885E-05  0.2200137625848E-05  0.2698102530811E-05
 157  0.1531814375872E-05  0.1695357199419E-05  0.2205662177806E-05  0.2715967156193E-05
 158  0.1511645423371E-05  0.1691887959072E-05  0.2216204796076E-05  0.2740521633080E-05
 159  0.1494825718743E-05  0.1692994264346E-05  0.2230175594556E-05  0.2767356924766E-05
 160  0.1480197191780E-05  0.1693666859768E-05  0.2242139775208E-05  0.2790612690648E-05
 161  0.1465441798806E-05  0.1690919130390E-05  0.2251078635897E-05  0.2811238141404E-05
 162  0.1448254473871E-05  0.1687280341216E-05  0.2260030054132E-05  0.2832779767048E-05
 163  0.1426711086961E-05  0.1684269238469E-05  0.2270685720237E-05  0.2857102202005E-05
 164  0.1403601580936E-05  0.1682441663661E-05  0.2281805214338E-05  0.2881168765016E-05
 165  0.1386420206537E-05  0.1681465247156E-05  0.2292832139519E-05  0.2904199031883E-05
 166  0.1377056569711E-05  0.1682928851915E-05  0.2304688396854E-05  0.2926447941793E-05
 167  0.1366411084321E-05  0.1685185367691E-05  0.2317474028335E-05  0.2949762688978E-05
 168  0.1346486894695E-05  0.1683842682350E-05  0.2330155561793E-05  0.2976468441236E-05
 169  0.1322745183615E-05  0.1680626864295E-05  0.2343131440688E-05  0.3005636017081E-05
 170  0.1305959147602E-05  0.1679116891421E-05  0.2357076559984E-05  0.3035036228547E-05
 171  0.1296674653778E-05  0.1681347729521E-05  0.2371082413172E-05  0.3060817096823E-05
 172  0.1285745882883E-05  0.1684058816561E-05  0.2383559786231E-05  0.3083060755900E-05
 173  0.1267475229023E-05  0.1683193300251E-05  0.2394813708584E-05  0.3106434116917E-05
 174  0.1246051250379E-05  0.1681873044708E-05  0.2406734879323E-05  0.3131596713937E-05
 175  0.1229129349266E-05  0.1683140587246E-05  0.2421289314606E-05  0.3159438041966E-05
 176  0.1217960114404E-05  0.1686125259606E-05  0.2437733154097E-05  0.3189341048589E-05
 177  0.1207001826106E-05  0.1688792603241E-05  0.2452916892650E-05  0.3217041182058E-05
 178  0.1193332675240E-05  0.1689593876856E-05  0.2465747989382E-05  0.3241902101907E-05
 179  0.1179929344387E-05  0.1691528697192E-05  0.2478981051567E-05  0.3266433405941E-05
 180  0.1167925920681E-05  0.1695812707040E-05  0.2494085919540E-05  0.3292359132040E-05
 181  0.1154142496377E-05  0.1697777664758E-05  0.2509656879883E-05  0.3321536095009E-05
 182  0.1138205720998E-05  0.1697926570470E-05  0.2524966753960E-05  0.3352006937449E-05
 183  0.1123813142894E-05  0.1699041409235E-05  0.2540302419553E-05  0.3381563429871E-05
 184  0.1112372816990E-05  0.1701095356337E-05  0.2554426842767E-05  0.3407758329197E-05
 185  0.1102128620534E-05  0.1703762181310E-05  0.2567681799573E-05  0.3431601417836E-05
 186  0.1091936620939E-05  0.1706672168870E-05  0.2583273564645E-05  0.3459874960421E-05
 187  0.1081487354708E-05  0.1709996348858E-05  0.2602011768987E-05  0.3494027189115E-05
 188  0.1070188651115E-05  0.1711832117248E-05  0.2619427788201E-05  0.3527023459154E-05
 189  0.1058287417876E-05  0.1711714656819E-05  0.2632343862587E-05  0.3552973068355E-05
 190  0.1046794423313E-05  0.1713277598483E-05  0.2643798130994E-05  0.3574318663506E-05
 191  0.1035382823304E-05  0.1717493776503E-05  0.2658898824011E-05  0.3600303871520E-05
 192  0.1022263684062E-05  0.1721064157151E-05  0.2677583277928E-05  0.3634102398705E-05
 193  0.1007297269716E-05  0.1722943569948E-05  0.2695695025836E-05  0.3668446481724E-05
 194  0.9939240469882E-06  0.1725222723234E-05  0.2711920553682E-05  0.3698618384129E-05
 195  0.9854009895163E-06  0.1729139484670E-05  0.2728900345752E-05  0.3728661206835E-05
 196  0.9794515457686E-06  0.1733280299773E-05  0.2746948025800E-05  0.3760615751828E-05
 197  0.9706150524885E-06  0.1736367205670E-05  0.2763533187666E-05  0.3790699169661E-05
 198  0.9579614001306E-06  0.1739822531552E-05  0.2778797941081E-05  0.3817773350611E-05
 199  0.9457695136699E-06  0.1745167160573E-05  0.2795872115476E-05  0.3846577070380E-05
 200  0.9368703839541E-06  0.1750766946621E-05  0.2815651823233E-05  0.3880536699846E-05
 201  0.9296326721652E-06  0.1754169752777E-05  0.2836209344293E-05  0.3918248935809E-05
 202  0.9209063191416E-06  0.1756821525752E-05  0.2855104083316E-05  0.3953386640881E-05
 203  0.9094499778051E-06  0.1759851447464E-05  0.2871521780274E-05  0.3983192113083E-05
 204  0.8970368886276E-06  0.1761795435942E-05  0.2887584072903E-05  0.4013372709864E-05
 205  0.8865444964732E-06  0.1764301168554E-05  0.2907002856492E-05  0.4049704544431E-05
 206  0.8784290076411E-06  0.1769840116636E-05  0.2929435181165E-05  0.4089030245694E-05
 207  0.8706438319469E-06  0.1776421214801E-05  0.2950685942157E-05  0.4124950669513E-05
 208  0.8620747794407E-06  0.1781488671316E-05  0.2968651669765E-05  0.4155814668213E-05
 209  0.8533148852968E-06  0.1785514601410E-05  0.2985846396078E-05  0.4186178190746E-05
 210  0.8446449877395E-06  0.1790066371923E-05  0.3005229307702E-05  0.4220392243480E-05
 211  0.8359671461544E-06  0.1796056422255E-05  0.3027487473299E-05  0.4258918524343E-05
 212  0.8277114224692E-06  0.1802293155987E-05  0.3050764786743E-05  0.4299236417498E-05
 213  0.8198470856315E-06  0.1806178238308E-05  0.3072435866793E-05  0.4338693495278E-05
